id,bqaffp_90_2.0
CHEMBL2375661,00011010101101010100110110000101011111000101001101011010110011110000000000110011101001011100000101010010011011000010000010010111011100001000110100101111010111110001010011101000110000100101000001110001100000000111011101011100111111010001101110010110011110011100011100001010110110010000000111000001001100111001111001001100001100101011111010110101011100100101001110111001111110111111111010010011111001110110111111110011111100010100001100100000
CHEMBL2375660,00011010100101010101111110001101011111000111101101011011110011110000000001110011101001011110000101110010011011000010000010010111011110101110110100101111010111110001010011101010110100110101010011110001101000000111001101011100101111000101101100011010001110011110011100001000110110001000100110010001001110111001111001101100001100110011111010110111010110100111001100111001111110111111111010011010111011110110111111110010110100111100011010100010
CHEMBL2375663,00011000100101010001111110000101011111000111100101011011010011110000000000110011001001011000000101110010011010000000000010010111011100000110110100101111010111100001010011100010010000100001010011110001101000000111001101001100101101001000101100000000001100011110010100001000110100000000100110000001001100111001001001001100001100110001111010110100010100100011001100111001111110010110111010011010111001110110111111110000110000011100001000100010
CHEMBL2375662,00010000100100000000110110000001001110000111100001011011010011100000000000110011001001011001000101110010010011000000000010010111001100001100110100101111010111100001010011100010010000100000010011110001100000000111001101001000101111000000101100001000000100001110110100101000110100010000100110000001001100001001001001001100001100110001111010110101011100100011001100111001101111010110111010011110111001110110111111110000110000011100001000100010
CHEMBL1830541,01110110111110000101110101010111011010100001111100011111011111110111100100110001101001011011110111110011011111011101101110010110011110001110110111001111110111111101010011101010110100010101111111110111101100100111101111110000101111011010111110011111011110111101110110011001111001010011101111111011111111111001001001111100111111111111111110111111000111110011101100111101111111011110111011111010111001110110101101111011110100110000011111111110
CHEMBL1830540,11111111111111010111111111110101011110111111101001110101111111110111101110110011101111010111110111011010111111111111101111010111111110001100010111101111100111111001010111111010110000110111111011110101100110101111111111010001111101011111111110010111010110011101110001011100111010011111101111111111111111111001111001111100111101111101111110111110010110101111101101111001111111111111111011110110101011110110111101011111110100010100101110111110
CHEMBL370724,11111111110111111001110101111101110111111111111111111111011111100011111110110011101001111111100111010110110010011111100111111110111110111100110111101111111111101111111111011111111000110101110111100110101111011111111101011000101111110001111111110110011111011111111101111111100111110101111111111001101110101101111001011111001111011111111010110111101110101101010101111101111111111111111110111110111011110110111111011001110110011100011011100110
CHEMBL2375666,11011011101111011111110111111101111111110111111011001110111111111011111110110110101111011111010111111111011111111111101011111111111101011111111111101111110111111111111111111111110101110101111111111011101011111111101101111111111111111111111111111100010111111111010111101111111011111101100111010111001111111101111001111111001101011111111011111111001110111011111110111101111111111110011111011010111011110110111111111111111110001001011111111110
CHEMBL305522,00011000100100000100010101111101011110000010000100001001110111100000000000000010101000001110000111000000011011000000100010010001001000001100110101000101010011111101010001000000010000000101000011010100001000001011001001011100101001001000101110000110000111000100011100000000000001011000000111000010001110101001001001011100001100010100111010010111001110001001000100111001101010000110111111011010111001110010101101010000110100010000001001100110
CHEMBL213736,11111110100001010110111011110101011110010001101101011110111111110111010010110001101001011110000111011110010111011110101101010100111010001110110100001111100111111110010111100001110101110111001001100001101001110111111101111000101101101010101100010111111101110111111100000000011000111110101111110111111110111101111000111110101111101111111010010111001110011111101101111101111110110110111011111000111001110110111111011011111100011000101101110100
