id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL1381098,11111011000111111111001111111101111111101111111101111111100111010111101111111001111011111110100011111100101111101011101110110101111111111111110101001111100111111011101111101001110110110111111101101001101011111111111111111111111110111111110111111111111111110010101101111111111011111000011111111011011111010100111101101010111111111111111011010110001100101111111111110101110011111111111110001010110010101010101010010111111100011101001111101110
CHEMBL542155,11111101101111011111101111111111011011110111111101110111011111001111111111110011101011111110110011111100101111010111101110111101111111111100110101111111011111110001011011110101110101010111111111010001101011011111111100111101111100111111111111111111001111011011101111111111111111111000001111111111011111010001111101011011111111111111111011010101001110101111111111110101110011111111110011000010110110100010101010011111011100011100111111001110
CHEMBL30008,11111001101100111111101111111101111111111111111101111101001111110111111010110011101111111110000011111100101111011110100111101011011111111111111110011111100111111111111111111111110100010111111111110011101111111111101111111110101110111011111110011111000111111001101101111011111001011010011111011011111111011100111001111111111101111111111011010111011010001111100100110101110111111110111011111110110010100110111100011011010100011100111111011100
CHEMBL475969,11111100101111011101111111011111011111111111111001011111011011111011100000110001111101111100110111111110111011011110101110000100111111111101110101111111111111111101011011101101110010110110111011110011101001111011011011011001111110111101110111100011110101111111011111101111101011111101001111000111011110000100111101010100101100111011111010010111011111110111010101110111110011101110111010011010110000101110111010011001111100011101011111000110
CHEMBL360671,11110000001111001101101111111001011111000001101101010111011111010000010010110000100000111000100111110110001010011010100011010111111100001100010100111111110111110011011111000011110100100101011111110001101011110011111101011100101110101111110100110111011111011111111110101110110011011110000110110111011000111101111000111100001111111111111010010111001010100101001100111101111110011110111010110010111100100110101010111101010100111000111011001000
CHEMBL1626,11111001101111111111001111111101001111110111101101110111111111011011110110110111111101111110000011010101101110011111101111111111111100111101111111011111101111111111111111111111111101110111111111110001000101111010111101011100101110101101110111111111011111011011101111111010110111010010010111110001011111111100111101001101111111111111111011010111101110100111100101110001101111111111111011100110110010101000101010011011011110111101111111001100
CHEMBL85,11011001101010000101110011111101111111101111110111011111110001000010000010000001001011011110100111110110001100001000101110100110011110001110001110111110110111111011011011101101110101110011011111100001001100110111101111011101101110011011111101100111101111011001111111111000100001111010100011100011011110100001111001011100001101010011111011011111011000001101001101110101101111011110010010101000110010100110101010111010010000010000111010001010
CHEMBL86,11111010001110111111101111110111011111101001111101111111011111110111110100100000101110111111110111111101101011011011101011111110001111001111111111110111011111111011011011101100111111110111011101100011100011110111111111011100101100101111010110001111010111111100111110001011111111111110010111110111111111111100111101101110111101111111111111011110111111111011011111110101110011111110111011000110010100101100101010011111011100001000111011011110
CHEMBL15245,10011011101111110101100111111101011111100111111111111111110111100010111011010011101001010111000111010100101011000110001110110101011111101100111111111111110111101011111111011011110101110111111111110111001100111111111101011100101110111111110100101111011101101101111100111000111111011010000111010011111111111100111001101111111101101111111111010111011110100111010100110001110011101110110010111011110000100110111010111101110110010100011111101010
CHEMBL7568,10111000101110111111000111110101111001100101111101110111000111010111010110110001111111111111100011111101101110001101101110110110011011111110110101111100110111110111011111000100111100110101111111100001101101110011111111111101111110100011110110110101011111111111101100111011110101110011101111110111011110101101011001111000011111011111111010010111001111111111101100110101110111111110111111010011010000101110111110011011111100001001011111011100
