id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL1080580,10011111100111000101100111110111011110110001111111011110111101110110000010100001101110011111110011010010001101010010100010011100001110001101110101100111100111111101011111000110111001110011110111110101100011011011001001010100111100101011100110100110101111011111111100101010010101011010100110101111111110111001111101111101011011111101111110010101011010101111101100110001101111011110111110011111111000100010111100111111010100010100111110100000
CHEMBL1172957,11110011101011101101100101111001011011110111001101111101011111110011000110101011110001111100000111101100101011111110101000010111111111111111111111111111111111111001110010000011010000110111110111111011101000110111111001111111111110101011101111111111010101111111111100011101010111011010001111100011001111111001011101111011101111000111111011010110001010000001011101110001111111000111111011110110110000100010111010110111011100011100111111010100
CHEMBL602471,00111011101111010111101111110101011110111001111101101111110111100010111110110011111110111001010111001101101110011101001110111110101111011110100111101101100111111011111111111100110000110110111111110011101011011011111101111110111110111001100110101110010100111011101100111111111110011010101110000011010110011111011101111101111111111111111010111100001011010111001100110101110011111111111111001010110000101000111110011101110100001110111111010010
CHEMBL1242568,11111101101011111101110111111111111111110110111101011111011111110111001111111010111000011110010011110010101111011011101011110110111101001100111100011101011111111011110111001111110111110111111111110010101001110111101111011100101100001011111010111110011111111000101100110101110001110000100111110011011110001101011001101110011111011111111001110111101111010111110101110000110011111111110110110010010010100110111110111101011100110100111011010110
CHEMBL1242569,10011101101010101101101111110111111111100001111101011111111111010111100111110010101110111010110011111000101111011011000011110101111010001100111100011111011111111001000110100011111110110011111111101011101010111011101111111001101101001011110011011110001111111000101110111101100001110010000110010001001110101101011001101110101111011111111011010100011011111111001101111001110011111011111001110010110110100010111110011111011100000100111011010110
CHEMBL299477,00111010100111100101100111111001101011110111111100011011100111110011010110110011001000011100000011010110001000011010111111010110111110000100110100101111110111111101000011101111110010110001011111110000101111101111101011111011101100001000110110001111010101011101010101111000111111011010001111010011010110111000111001001101101101111011111100010111001100101001010101111101110011111110111011110010010000100100111100011101011100000100101101101100
CHEMBL405059,01111010101111000111000111111001011110111111111110011111100111110011010110110000101101111100100011010110001111011100101111011110111111001101110100000111110111111101001011101101110010100101011111110100100011011111101011111101101100001011110111101110011101111111010101111000111111010000000111010000010110011000111101111111111101111110111000010111001110001001000101110101101011101110111111111010010000000110111100010100011100010000101101101110
CHEMBL2316869,01111001101111010101100011111101011111111000111101111111111111110110000010110011101001110111000011010010001000011000100111011000001010011101110101111111000111101101011100101110010100110011000101100101100000010111111101111100101101100011100110000110111101001011010100110000110111010000100111100011001110101001111001101100001100111101111111010100110110101101101100111101110111011100111000100011110000000110101110111000011100000100011010110100
CHEMBL1242566,11111011101011111101111111111111111111110110111101111111011111110111001111110010111000011110010011110110101111011011101011110110111101000100111100011101011111111011110111001111110110110111111111110011101001110111101111011100101100001011110010111110011111111000101100110101110001110000100111110001011110011101011001101110010111011111111001010111101111000111110101110000110011111111110111110010010010100110111110111101011100110100111011010110
CHEMBL1242567,11111011101011111101101111111111111111110110111101111111011101011111001101110010111010010110010011101110101111011011101011110110111100001100111110001111011111111011110111001111011101110111111111110011101001110111101111111100100100001011111010111110011111111000101100111101110000110000100111110011011110111101011001111100111111011110111001110111101111010111100101110000110011101111110110110010010010100110111110111101011100010100111011010110
