id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL433379,01011111101011010111111011111111011011011111111111011111111111100011111111110111101001111110100011111000101010011111100101110100101010111111110101011111100111111111111111100111110110110111110101111001111101111111111111111100101100011001111110101111111111110010101110110111111011011111100111101111011110111001111100111101101111111111111001011110011111111101101101110101110011111110111011110010110110001010111110111001011110110100011011011100
CHEMBL202661,01011001101011010111011011110001011111011111111001010111010111110100110000100011101010011111100011110100011011011000001100100100111110111100111101011110011111111101010111100011110000110111010111110101110001110111101101011000101110111100100100001100011001001111111000111001111110010010100111010011011110101001111001001101011101110111011110110100001110101101010100110001110111011100010100011010010000100011101010111101110100011100011011101100
CHEMBL468001,10011001001111011101110110111111111110100110111101100011010111111010000010011011101111011100110011011111001011010010101110111101011100001100111111111110110110111111111111000011110111100101010111011001101001110111011111011000111110010100111110111110011111011011111100111011110111010010101110010011011111100001111101111100001101011011111011010101001100001101111110110101111011111110111101010110110000100110101010111101011000011100111011000000
CHEMBL3586198,10110001100011010001111111111111011110110010101101010101111111110010000000110000100010011000000111110000001010001010100110010000111000000100010101000110110111111101010111000100110000100011010011100001101001101001101111010000100100101100100010010110011101011010111100111000010110110010010111110011001111111100111001111110100101011001011110010111011111110011000100111001111001110110111010111010010101100110101110110010011000010100011110000100
CHEMBL3586199,00111011101110101101110111101101001111100110111100111111100101010011100001110000111110111010110111010101101110010010100110110100101001010100111101000111101111111011010111000000110011110101011011101011001000001111111101011110111110101001000010100110010111110011111110111001110111010101011111010011001101010000111100111101010101011111110110010111010010000101000101110000111111010111111010011110110000100100111100111010011100110100111111000110
CHEMBL128452,11011001101111010111100010111101011111100101011101001111110111110010010010110000101011001011000111010110001110011100101111010100011010000110111100100111110111111001011001101001110110110001010111110011110010010111001001011001101100000011111100000101011111011101111100111111100011010010010111000011011100101000111001001000011101011111011000010111010111111101100101110101111011111110111110010010110000000110111010111100011100110000011011000110
CHEMBL364545,10111000101111011111101010101111011011000101001100001111011011110011111010110000101001001010100100011110001010010110100110010100111011001100010100000101010111111001011111100010010100110101111111100001110010010011001001010101101100001011111100000110001110011110011100111100110111011001000011000111011110100000011001011100001101010011111000000111010011110101101100110101111011011110110010010010110000100010111110110000111100000000011101000110
CHEMBL388560,00111111001110110111100111111111111111101101111100111111111111100111111110111011111011111110110011111100101111111111100110010111111111101100110111000110110111110011111111110101111111100111111111101011101111111011101111010101111110111011011111111111011111111010101110111010110111101010011111010011111110011101111101101010111101011011111010111110011010101111001101110001110011111101111111001010010110100010111010010111011100010110111111001110
CHEMBL76640,11111011101101110111101111101001011011101111111111111111111111110011101010110011111011111101100011110100101110011110100111011100111101111111111111111111110111111011110111001010111101110011111111111101101110111011001001111110011110011111110110101111001111111011111110111011111111111111111111010101001111101100111101001100111101010111111110110111011010100111111101110101110011001111111011100110110000100110111010110111111100001111111111011110
CHEMBL1782707,11111101101111101111100010111101011111111111101101110101010111011111110010110111111111110111100111011100101110011110101111110110111111010111111100101111110111111111110011101111111000110100111111111101110000111011011111011111101110011111111110100111111111011111111111101000110011011110011111010111011110001100111101101111101101111101111010111110011111111101100101110001110011101110111011111110010010100010111010111111011100011001111111001110
CHEMBL386541,10111011101101111111110111111111011111111110101101111111110011111010111101111000111111111110010111011001001110000101001010110110111101011100110111101110110111110101011111110101110110110011011111110011101000110011111110010111111100111000110110111111011111011101111110101011010110111010101111100111011110101001111001111101011111111111111011010011101110111111101101110101110011001111110010010010110110000100111010011111011001000100111110000110
CHEMBL134342,11111000001111000111001111111111101011101111111111111111111101110111010000111101111001111110100011110101101111010110100111100111101011101111111111011110111111111111010111111101111110111111111111110111111001111111111100011100111110111111010111101111111111011010101101111000111111111110011110010011111111001000111001111011101111111111110111011111001010100111110100110001111011110111110011111110110010101110101010111011011110111100011111001100
CHEMBL138442,10111110101111011111101011111111111111111110111101011111111011111011111001110110101101111110000011011110101111011111001111011110111111111010110101011111110111111111010110111011110100110111110101110010001001110111011111011100101110101011110110111111011111111011111110110011111011011110100111110011101110111000111101111111011111101011111001011111111110001101111101110101111011111110110011110010110010100010101010110111011010111101011011011100
CHEMBL75110,00011110100111010111001001111111011011110111111101011111011111110111111011110111111001111110100011110100100001011111100111111100111010111100110100011111111111111101010111111111110000110111010001110011101001111101011110111101101100101010111111101111011111011010111110100001111111011111111111111111001111001100111001110111111111011111111101011011111111111101111101110101110011111110111011110011110000100010101010111011011110111100010111011100
CHEMBL225688,11111011001111111111101011111111111101101001111101111111111111110111111011111001101111111100100011111101101111111111101101100111111111111110111110100111010111111011010111111100111111110010111101110011111111111111111111110111111110111111010111011111111101111010101111111011111111111110011111111111011111011110111101101001111111111111111010011101011000101101010111110101110011011111011111011010110000101110111010111101011100011100111111011100
CHEMBL225689,11111011001111111111101011111111111101101001111101111111111111110111111011111001101111111100100011111101101111111111101101100111111111111110111110100111010111111011010111111100111111110010111101110011111111111111111111110111111110111111010111011111111101111010101111111011111111111110011111111111011111011110111101101001111111111111111010011101011000101101010111110101110011011111011111011010110000101110111010111101011100011100111111011100
CHEMBL3597556,00011010100110010011101011101111000011110001111111011111011111110111011010110000101101010110100011011010000011001110100111010100011111101100100101001111100111110101011101110111110000010111011101110101100001010011101101010100001100010011111110010110011111011011111100101111010001011111101111111101101110101100011001011101111101111011111010001101011110111001000100110101101010111110111010110010111010100010111110111001111000011000010011011100
CHEMBL432376,11111111000111110111100111111101011111110010111111011111111111100011111011111011111101111111110011111000001110011110100110010100111111000101110111111111110111111101111111101110110100110011110111000101101000110111111111010101101110111101110111101111011111011011111101111010110110010010100111110011101110011101111101111000111111111101111110010111110011101111111101110101110011111111111110111010010000101100101000111011010100111101111111010100
CHEMBL3586197,10011010101111011101110100111101111010100011111100001111110111011010000000110000011111011010100111110101001110000110101100110111111000000100110101101110010111101001010111001001110100110011001111100000101101111111011101011100100110101011010110001110001111111001111110111001011101110110111111010001111100001000111101100110011100011111111011010111111110001111011100110101101011010111110110001110010000100000111110101011011100110100101111010110
CHEMBL364125,10011001100001010101110111110111011111101111111101011111110111100111110000001111101101111110110111110000001111011011101110111101011111000100110111101110110111111001010110000111110101110011101011110111111011110111111111010100101110101111000111101111011111111001111101101010111110011010100111000111011111110000111101101111101101101111111111010101001010101101101101110101111011111111110110010110010010101010101010010011011010011100111100001110
CHEMBL197696,10111011100111110101101111110011111111100111011101010111011111100010000011110110101100011110100111011100101010011100101111000100111110010111110111001111100111111001011111000111111001110101111111000111111011011011011101110111111100011011110111010110011111011011111111111101101101101010010111000111011010110100111001001010111101011111111000110100011111111111000101110101111111111101111010110011110110100110111100010111011100000100011111010110
CHEMBL273051,11011011100111110010010001111111011111110101111101010111010101000110110000110111101111011110100011111110011110001100101010110001011100101101110111001110010111111001011111111110111001100111010111100001110010111111011101011010111110001011110100000110000111001110110100111100111110010010111111010011011111111001011001101101001110111111111100010110001010101101011100110101110111011100010010111011110000100111101000011001010100001100001011100100
CHEMBL3754694,01010011001111011001010111110101011110110101111101010111010111010010110100110001101001111110100011111101001111011000001110010100111110101100111111000111010111111001111011101010110100100000000101100001010011011111001101011001100110001111111000010110010001111111101100111111010010010000000111110011001110110001011001001110001110011101111010010110001111101111001100110101110101111110011110011001010000100011101010011000011100001000101011000100
