id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL1094507,01111100101011000111100111110001011010100101101101011111111011101010001100100010101011110111000101010100101011011101101111010100111100001101110110010110100111011101011111000111110000110100110111110001100001100111001101011110101100111010101110000111000110011101110101001111010100011000100111010111011110011001011101111110001101111111111000011111010010001001000100110101110011011110110110111011110000010011101110101111011100000100001010001000
CHEMBL1094506,11111100101011010111100111111001011010100111101101111111111011101011001101110010111010111111100101010100101011001111101111001100111000001101110110001111100111111101011111100011110000110100110111110001100000101111001101111110101100111010100010100111111100011101110101001111010100011010100111010111011110011001011101111110001101011111111001010111010010001011100101110101110011011110110110111010110000010010111110111111011100000100001010101100
CHEMBL593909,10101000101111000111110011010001111111111001111101100111010101110110100000100000111100010110100011010000101011011010000010100000011011001100110101010101101101110011010110001011110100100011010111100000100001010011001001011100111110101010110110111110001111011100101100010100100011011000100111100001000110101001001101101100111110011101111010011110001000111111011101110100100111001110011000101010010100100010101010011010110000100010001001100010
CHEMBL593908,10101000100011010111110011011001111111101101111101100111111101110011110000100011101000010111000011011100101011011000000000011000101010001100110111001111111101110101111011101011110100110000010111100000110000110001001101011100111100001011100110001010111101111110101100110100110011011010101110100011010110101001001101111100111100001101111010011111011001111011001101110111100111001110111000110010110000101010101011011100010000100010101100101110
CHEMBL1077729,01111101101110010101100111110001111101100100011011010111110011010011111010110111101010111111010011011100011111001110101010010000001010001100111110001110100111101001010111110001111100110011100011100000100001110111001111011100111100000101100110110110111101111110101101111100110011011011100111000001001111111001111101001100101100001011101010011110111011100011101101110101100111011110111110010010010000100010101010110010110000110100111000101100
CHEMBL1094505,01111100101011010111100111111001011110100101101111111111111011100111001100110010101011111111100101110100101011011111101111000100111100001101110110001111100111111001011111100111110000110100010111110001100001101111011101111110101100111010100010100111011110011101110100001111110100011010100111010111011110111001011101111111001101111111111001010111010010001011100100110101110011011110110111111011110000010010111110111111011100000100001010000000
CHEMBL593905,10111000100011010111100011011001011111101101111101100111111101110010110000100011101000010111000011011100101011011000000000011100001000001100010111001111111111110101111011100001110100110000010111100000110000110001001101011000101100001011100110001010111101111110101100110000110011011010101110100011010110101001001001111100111100001101111010011111011001111011001101110111100111001110111000110010110000101010101011011101010000100010101100101100
CHEMBL1086444,01111011101110011110100111111001111111111111111111111111011111010110010100110001101110110111100011111100101110011110100110111110111110111101010101011111110110111001111110001011111001110101110111100011100010111111111101011111111111101010110110001111011111111101101101111110111110110011000110110111000110100101111101101101111111011111111011010011001110100011111100111001111111111010111001111111110010100010111010110111011100011100011011010010
CHEMBL1277382,11110101001011010111100011111001011111110011101101101111110111110110100110110010100100010101000111010001100011000110101110011110001000001001101110001111110111111011010110001010110010110111100111100001100011110111101101011000101100101000101110100111110111011111111111111011010001011000000111110011111101111001111001011100001110111111111011110101011110100011101100110101100011111110111001110110110001100011111000101110010100000101001111010100
CHEMBL1277383,11010011001010010110100011111001011111110111101101111111110111110010101110110011110100010111000111010100000010000110101110010110101000111001100110001111110111111011010111001010110100110111000111100001101001111011101101011000101100101001101111010111110110111111111111111001110001111100100110100011110101111001111001001000001110111111111011110101001110011111101100110101110011111111111011111110010001100111111010101010110100000110101110010100
CHEMBL563641,10111011101011010101100111111101111111110001111101111011111111100011101101110011101111111110000111000110100011001111100010011100001100101110110111010111100111111101011111011011110000110111110111110110000001110111011101011101111110001011110111110111010101011101111100111111110001011010100111100011111110101101111101001100001111111011111011010110011100101111101100110101101111010110111011111010010100100100111000011100011100001100001011011110
