id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3813871,10111010000111111111110110110001011111110101111101011011000101110110011010110001101011110111110111111101101111010110101111010111111101111110011011111101010111111001111111001001011111100111010101110001101011111011001101111101101101101001110111010111101111011100111110001111111111111001000111110011011110111101011001111000001111011011111010010111011000111011011101110101110011011110111111001010110000101000101110111011111100100000011111000110
CHEMBL3813872,01111011000011010111100111111101011111110101111101111111110011110110011000110011101011110111110111111101001111010110100111001111111011101110011111110111010111111011111111101101011111110111010111110001101010111011001101111101101100001001110111110111101111011110111111001101011111111000100111100011011110111101111001111000001110011111111011010111011010111011001101111101111011011110111010011010110011100110111110111011011101110000111011000100
CHEMBL3797953,10111111101111110111100001110111111111110101111001111111111111111111110110110011101111010101100011010100101111010110101010011110111000111101111111101101110111110101011111001000111100111111110111110101101011011111111101101100101110101001110110110110011111011101111010111110010111111000011111110011110111101001111001111010011111111111111011010101011010101011001101110101110011111111111010010111110000100010101110111111111100111010011011001110
CHEMBL3697864,10110010101111100111100101010101011011110101101101010100010111110010000100110010101100110101000111010100001010001110101100011100011010011101100100111111110111101011111111101010110000110011010111110111100001110101001101010101100100101011101110001110010101111110111100111111010101011010100111110001101000100001111001101000011101110011111010010101001110101001001101110100111111011110110010111010110000100010101110111101111100010000011011000110
CHEMBL3697867,10110011100100100101000101010001011011110101101101010110110111111011010100100010100110110101000111000000001010001110101110010001111000011110100101011110110111111001111111001010110000110011110111110111100000110111001101011101100100101001101110011110010101101100111100001100100011011000101111110001001000000001111001101000011101111111110010010110011010101001001101110100110111001110011010110010110000100000101110001111110100000000011001001110
CHEMBL3697866,10110010101111100111100111110001011011110101101101010110110111110011010100110011101010110101000111010100101011000110101100011100111010001100100100111111010111101001111111101010110001110011010111110001100001110101001101110101100101101011101110001110010101011110111000111100010100011000101111110001001100100001111001101000010111111101111010010100101110100001101100110000111111011111111010110010110000101010101110111111111100010000011001001110
CHEMBL3697861,11111101100011010100100111110001011111100101111101000011110111100011001000000001111001111110010111011110001110011110100111010100111000001110100011000111000111111001000111100000110100110101110111110001000001101011001001011101101100101100111110101010010111011100111100001101110111001010101111110011011100101101111001101000010110111111111000010110011001110011111101110101100011001110111010011010010000100110101100010100111100000000011001100010
CHEMBL3697863,10111011100111010111100111111001011011100101101111010110110111100010001000000000111011110000000111011100000010011010101110110100001010001100100000011111010111111001000111101010110100110101110111110100100001111001001101010101100100001110111110011110111111011110111100001101110111011010111111110011011100111101111101111100011101111011111011010110011011100001111101110100100111001110111010110010010000101010101100111111111100000000011001001100
CHEMBL3697862,11011011101011010101110110111001011110100101111011010010110111100011001000000001101000110110000111010110001010011110101111010100011010001111100011001110000111111001000111100010110000110001110111100101100001111001001101111101101100001110111110111110111111011110111110001101110000011010001111110011010100101101111001101100000101111101110011010110011010100011111100110101001011011110111010111010010000100110101100110110011100000100001001000010
CHEMBL3697869,10111011001111100111000111110101011010111101101101011110110111110011010100110010101010010111000111010100101010001110101110110100101110011110100101111111111110111011111111101010110001100011110111110101100000111001011111111101110100101001111110000110010111111100111110111110110111111010101111110011001000101101111101101000011111111111111010010111101110101001001101110100111011011110111010110010110000101010101010010100111100011100001011001010
