id,bqaffp_90_2.0
CHEMBL212603,10111111111111111111111111011101111111110011111101111111110111110111001111110010101011111110110101111110110101000101100111111101101110011101110111011101111111111101111111010111110001110111010111111011100111111111111101011101111111101001111110001110011101111111111110111111010111111011101111110011001111111101011100111110011011011111111011100111011111111011001111111101111111111110111110011010111011110010101111111101110100011110111111110110
CHEMBL410881,00011000100001001100111110111011011010000111100111101101110101010001000000100010100100010001010110110110011011010010001011000000011010000001110100001110010111111001010010000010110000110011101011100001101001111111001001011100101111000011101100011100001101011101011100001000111011111010100011010011001100101101011001001100001000010011111000110111010110111011000100111001111111001110010110010011101101110110101011010101100100000000001100110100
CHEMBL267447,10101011101001000101111111101101011010000011011101110111100111010111000100010010111000100111000111010110111111000011101011100101111111001101010100100111010111101111010001100110110100110101010111101110101001111111001101011100101111011001101110011111011101011101111100111000110111001011100111010011011111110101111001111110001011100111111010110111001110101111011111111101111111011111111110011011011001110111111111101111111100010000011111101010
CHEMBL273980,00011100101010000100110000100101001010100111001101000110111101110011000100100000100000010111000111000110011110000100001111000011111000000100010100001110010111111001000010000001010000010001111111100000100000001111001100011101100101001101111000011100011000011100011100111100010000010000010111000011011000101001101001110100001001010111110110010110000110100101000100111001100111000110011110010010111011110110111101011011110000010100010000101100
CHEMBL38957,00111111100011010101010011100101011000100011101101011110011111110001101000100111101010011110000111010111011111011110100111000000111111100100110100111111110111110101011011100010110100110111011111100001111001111111001001011001111101000110101100101110010111001111111100101100010110011110100111010011001110011001011001111101001111001101111011110101011110101111001100111111111111011110111110110010111001110110101111110111111100011100001000100110
CHEMBL1778266,11111001101110011111110111110001011111110001111111101101110111110111111100011011111110111111010111110110011111110011101011000110011110111100110111111111111111111101011111000111111101110111111111110111111111111011001101110110101111111011101111111110011101011111111100111111010111111110100111110111001111111001111101011111111111110111111111110111111110111011001101111101111110011111011110011011111001110100111111101101111100000100111110101100
CHEMBL1269812,11111111111111110101110111111101111111111011111111111111111111011011111110111011111011011111110011111110111110111111101111110100111011111110111111011111111111111101111111111110111100110101111111111001111111111111111101111100111101111111111110111111101111111100101110111111111111111101100111110111011101111001111101111110111111101111111011110111001110111111111101111001111111111111111010111011111001111110111111111111110100010110111111111110
CHEMBL113515,11111001111011010111110111110101011101101111111011010011010111110010011100011111101111010111001011111111111111011111111111011111111110110010111101001111111111111011010111111011110100110011110011100001100011011111111111011111111101001001111000111110011111011111101010111111110100111110100110110011101100111001011001011111111101111111111000010110011111111011111101111101111111111111111010110111111001110110111101011011111100011100111111101110
CHEMBL375269,00010011100101000100010110001001011101100010000000001110110101100010000010110000000000010000000111000000011010000000001010000101001100001100111100000110000110100101010110000010110000100001000111100000100000000011000001000000101101001000101110010100000111011101111100111000000001010000000110000001001110001001101001101100001100000011011000000110011100101001001100111001001001000110111110010010101001110110101001010000111100010000001010100000
CHEMBL253178,11011001111011111111111111110111111111100001111111111111111111111011110110111111101110011111110111111110111111001111101111111111111110111111011101001101100111111101010111100110111100110111111111111011101111101111111111011111101111111111101111111110011111011111111111111111111011111110100111010011101110111101011001111111111101011111111010111111111111111111000111111101111111111110111101011110111011110010111101111110111100001101011111111110
