id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3735808,11111001101111011101101111111111111111111101111111010111011111111010110010011010111100111110000111111000001011011100101011111101111001011001010111111110111111111111010111001101110100110101111111110011001111011111011001011101101110101011111110101110011101111001111110101001110101011011100110110011001110000001111001111101011111111111011110010111011111111111001110110101111011101110010010111011110000100010111010111101111000001100011111000000
CHEMBL179723,01011011101111111101000111111111011111111101111001011111011111111111111010110001111110111110110011111000101111111110101110100101101101111111011101110111011111101010111111001101110111110111110101110011101111111111111111110111011110111111111110100101111111111011101110111011011111111010111111110111101111011100101101111011100111011110111011010101111000001111011111110101110011101111111011001111110010100100101100011011111000001110111111010110
CHEMBL455837,11111011101111111101001111111111011111111101111111011111111111100011011100101011111111111110110111011111101111011110101110111101111101111111010011010110010111111110111111000111110111110111111111110011001011111110111001110111101110101011110110111111111111111011101100101011110111011111001111110111111111111001111001111011110111011111111010010101011100101111011101110101110011111111111011111110010100101000101010011101111100011110111101000000
CHEMBL1950009,10011101101111100111101111111101111010111111111101111111110111100111011011010010101010111110110111110101001111011100100111111010001111101111110111001111111111111001001010101111110001111111110101110101111011111111101110011111101110011001111110100111011111011011110101111100100011011010110111111011011110111101111001111010101111010111111011011111011001111111111110110101110011111110110110011001010000100110111010111100011100001101011111011100
CHEMBL289169,11011101101111010111101111111101011111111001111101001111011111010111101010110001111111111110110111111101101110011110101110101100111101111111011110110110010111101111101111010011110110110111111111100001001011111111101111111100111110111011110110111101011111111011100110111011110111011111101111110011111111111001111001111100101111111111111011000111001000001111011101110101110011111110111011111111110110101110101010011111111000001100011111000110
CHEMBL48568,01011011101011011111101110111011111111100111111111110111111111101111110110111000101110111111110111111100101111010111101001100111111010111110111111101111100111111011111110011001011101110111011111001011101111110111101111111101111100001011011111111100111111111010111110101001101101011011010111111111001110011100111101111001110101111111111011010101111011011011110111110101110011111111111111111110110110100000111100111111111100101100111101011110
CHEMBL271832,01111011101111111110100111110101111111111111011101111111111111110111110111110011001111111110110111101000101111010110101110001111101101111110111101101111100111111011111110001101110010110001110011100011101011110111011111010111111110101011100110011110110111111011111110101010111011011111001111010011010111011100111001111010111101011111111011010110001001110111010111110001110011111111111111011011010110101110111110110011111100001100111111010110
CHEMBL63706,11111011101111011111001111111111111111111000111100010011111111010111111010110011111111111010110011111101001111011110101111111110001101101111111111101111010111111111011111001111010111110011110101111101101110110111111101111101111110011011110111101111010111111111111100111011011111011111101111111011011111011000111001111101110101111111111001010100011100001111010110110101110011111110111010110110110111100000101000111001111100001100111011010010
CHEMBL67447,01111111101111111111000111111111111111111000111101110111011111010111111110111010111111110111110111101101101111111110101111111111001101001111111111101111110111111111011110001111110111110111110111011011111001110111111101111101011110101011110110101110011111111011111110111111011111011011101111000011011111011100001101111111110100011110111011010100011000001111010110111101110011111110111110110110110111100010101010110011111100011110111011010010
CHEMBL145029,11111101001111111111101111111111111111110101111101111111111111111111111011110011111110111110100011111100011111111111101111110111101101111111110101100111011111111111111111110100110101110101110111010111101101111011111101011101101100111111110111101111011111111110111111110011111111011010001111011011011111011000111101101111111101111111011111010111011110101101111101110111110011111111111111010001110110111100101110011011011100000111111110011100
CHEMBL550126,10111101101011010111101011111111111111111101111101011111111101010111110010111010111011111110100111111110101111011100101110011101101111101111011111110111101111111011111110101101110110110111010111111011101111111111111111111110111110111011110110111110110111011011101110111111111111011010000111100111001111011101011101111111111111111111011011011111101011111111001111110111111011111111111111001110110110101110111010111101011000001100011011000110
CHEMBL462911,01111111101011111111101111111101111111100110111011110111110111010001011111011001111111111110110011111100101111110111101111010111111111101100110111110111110111111011110110011100111111110111010101010011011011110011111111111111111100101011010111111110011111111000101111111011101111011011100111010111111111011100111101101111100100111111111011010111101000111111111111110101110011111111111011001110110100101000101010111111111100011101111110001110
CHEMBL16516,11011111001011010101100111111111111111110000111101011111111011000101100010010011101111111111100111111101001111011110101110011100001111001100010110000110100111110111011111110011110010110001111111110011101101111111101101011101111110111011100110100111011111111011100110101011110111011010100111100011011110011001111101111110111111011110111001010111011010101111001110110101111011011110111100011010110110100110100010111011011100010100011111000000
CHEMBL184389,11111011101111111101100011111111111111111101111111011111111111010111111010011010111111011110010011111100101111010110101110010100101001111110010101100110111111111011111111101111110111110101111111111011101111111111011011111111111110111011010110111110111111111011101110101010011111011011100111010111111111011000101101111001111111011111111011010111111111011101010111110001110011011110111110111011010010100000101010010111111000011110011111010000
CHEMBL421417,11011101001111010101101111111101011111111101111101001111100111010111101010011000111011111111110111111100101111011110101110110100011101101111010110010111010111101011101111010011110110110111110111010011001011111011101111111100111110111111110110111101011110111011111110111011110011011010001111100111001111011001111101111100001111111111111011000111001100001011011101110101111011111111111010111111110110101010101000011111011000001100011111000100
CHEMBL272587,11111101101111011101100011110101111100111101111111010111111001010110111010110011111011011111100111111100101010011110101100010100101111001111000111111111111111111011111111111111110101110111111111111001101111111111111011111110101110011011110110111111111111111111111110111110110110011010000111000011111111011101111001111101011111111111111011011110011011011111101111110101110011111111011011001011110110100010101010010101011000001100011011000000
CHEMBL318410,10111011101110011101100111111101011111111011111111001111101111111011001110010110101110111111010111010100101111011101101111110100101110011110111101111111100111111111011110100010111000110111111111110011000010111110111111011100101110101111111110101111111111010011011000101010110111011110000111001011011110101100011001011000111101011111111110010111011111111111000101110101110011111110110110111011010000101110111110111001010000101110011001000110
CHEMBL2204564,01011011001111010111101111110101011111111101111111011111111111110110010010110010101111111111110011101100101111011100101010110100111101111101111101101111110111111001011111010011110000110111110111101001101010111111011111110101111110101111110110100110011111111011001101111001100111011110111111110011011110111101111001101001001110110111111011010111001010011011001100110101110011111101110010111010010100100110101010011001111100001110011011011010
CHEMBL433287,11111011001111010101000111111101111110110101111101011111111111110111110010001011101111111111110011011100101110010110101011111110001101001111011110111111111111111111110111011110111100010101110111010111101011111111011111110110101110111011101110001110001111111111111110101011011111111111001111000110111111111000111101111101011111111111011111010111111100001111010111111101110011111111111011011111110000100100111010111111111100011100011111101110
CHEMBL298296,11111111001111010101001111111111011111111101111101011111011101010011101110011010111011111110100111011001101111010010101010110101111101111111010110110110011111111100110011010111110110110111111111110011101100111010111111110101111110111011110110111111010111011011101110101111110111011111001111010011011110111001111001011010011111101111111010100111011100001101011100110101110011111111111011111110110100101110101010011011110100001110011011000100
CHEMBL2158024,10111011101111111101101111111101011111110000111101001111111111110011111010110010111111111111110111111100101111011100101110110110011101001111110110001111110111101101011111000011110110110101111111111010101001110111111011011110101110001010111111111111011111111011111101101011110111011111000111110111011110001001101001011011011010010111111011010101111011111111111100110101111011111110111010111011110000100110111110111101111000001100001111010010
CHEMBL42225,11011101001110010101101111111101011111111101111101001111011111010111101000111001111001111110110111111100101111011110101110100101111101111111010110110111011111101101101011010011110110110111111111010011001011111011101111111110111110111011110110111101011111111011101110111011110011011010001111110011111110011001111001111100001111111111111011000111011100001111011101110101110011110111111011111111110110101110101000011111111000001110011111000100
CHEMBL15770,01101111101111100111101101101111111011110111111101011111111011110111000010110010101011111100110011110001101111010110101111000110111011111110110111110101111111111011011011101011010101110101110111011101101111111111011111110101011100011101100110001110011111111010101110111011111111111000111111010011011111011100011001111111111111011111111111010111011110111011100100110101110011110110111111000110100010100100101110111011011000001101111111001100
CHEMBL42223,11011101101111010111101111111101011110111001111101001111011101010111101000110000101010011110110111111001101111011110101010110100111111001111010110110111111111101011101111010011110110110111110111110011001011011111101011111110111110011011110110111100111111011011111110101111010111011111001111100111101100111001011101111100001100011111111011000111011111011011011101110101111111010110111011111111010100100110111100011111101000001100010111000000
CHEMBL97088,00111010001111011001100111111101011111110011111101011111101111100011111100010110101011111110010110011110101110011111101110010100111101011110110011101111110111111101011110100110110000110111110111010001100001110010111111011101101110101110110100101111011111111011011000101011110010011100000111010111001110110110011001001001111101111111111110110111010110110011000101110011100011111110010010100011010000101100111010011001011100001110010111000110
CHEMBL145247,11110001001111011101001011111111111111110111111101111111111111110111110011110000111010111110100011110100001111011101100111110111101100111111111111100111111111111111011111100100110111110111111111110111101001111011111101111100101100111111110111101111011111111000111110111001111111010010001111011111011111011000111101101010111101111111111111010111011110101101011101110111111011111110110011011111111000111110111110011011011000010110011111011110
CHEMBL540445,00111111101110111101011101111111011110101111111001011111011111110011000100110011111111111101110111111000101111000110001011110101111111000100110101111111110111111101111111001101010111010010111111100000101100110111111111010110101110011011011110011111010110011011111100111011111111111110011111101011011111100000111001101001101111111111111010010111011110001111010100110100110110111111111110001110100000100110101000111011011110111100111111011110
CHEMBL257295,11111101001111111101111011111111111111111111111111011111110111011111111000110011101011111111100111111100101110010110001000110101111110101110010111111110111111111011111111110101110111110111111111111011101111111101111011111110111110111011111110111111111111111111111110111111110110011010101111000011111111011001111001111101111110011111111011011111000011001101101111110101100011011111111110011110110110101010101010111111011000111100111011000010
CHEMBL3823600,11111011101110000101010011111101011110110101011101100111011111011110100000100010001000111011010111000101001001010110100011010000011010000101110110010111100111111101011010001111110000100111011111100001101000110111101101111101101110001001101101000110011111011111111100101000010100011010000111100011010110111001111001111101001111111011011010010010001000100001000100110101100101111110011010110010110000100010111110110110011100011100111111010010
CHEMBL91258,11110101101111011101101111101101111111101101111101011111111111011111101010011011111010111111100111110100101100010110101110010101101101101111010101010110110111111101111111101101110110100011111111110011101111111011111111111111101110111011110110111101110111111011100100101011010111111100101111110011111110111000111001111101111100011111111011010110101111111111011111110101110011011110111111011110110010100110111010111001111000011110011011100000
CHEMBL257299,10011111001111010101100011110111111111111101111111010111011001110111111010110011101111111111100111011100101100011110101110010100101111101100000101100111101111110011110011100001110111110111110101100011111110111111111111111111111110111011100110101111111111110111111110111000110010011110000111000111111111111001111000111100011111011111111011011100111011111111001111110101110011111111111011011111110000100000111010011111011000001000111011000010
CHEMBL257054,01011100101111010100101011110101111111111100101101010111111011010110001000010010101011111111100011111110101111011110101100010001101010101111000111111111111111111001111111100101110101110101110111110010101011111101101011111100101110011011110110011111111111011111101110111010101110011010000111010001111101111001111001101101111110011111111010011110011011010101101111110101110011111111011111001101110000101010101010111111011100111110011011000010
CHEMBL458026,11111011001111010101101111111111011111110101111101010111111101010111110011111010111111111111110111111100101111011110101110110101111101111110010111010110011011111001111111001111110110110111111111111011011111111111111101111111111110101011110100111111010111111010101100111110110111011010000111110011111111011001111101111001011111011111111011010111001100101111011100110101110011111110111011101111110010101110101110111101110100001100011111000010
CHEMBL458025,01111111101111010101001111111111011111110101111101011111011101010111111011111010101111111111110111111100101111011110101110110101111101111100010101110111001011111010111111000111110110110111111111110011011111111111111111111111101110101011110100111111010111110011101100101110010111011010000111110011111111011001111100111001011111011111111011010111001100101111010100110101110011111111111011101111110010101010101110111101110100001100111101000000
