id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL310280,01111101101011111110111110111011111111100111111101111011110011110111110101110011101111111110110011110100101111011011101111111110001100100110110111100111110111111101111110111101110110110101111101011011111000011111011101111110001110101001000110101111011101011010111100101000110111111010100111100011111111011100011101111111111101011111111011010101011111010111001101110101110011111110110010011110110000100100101010110011111110001001111111001110
CHEMBL348573,11111001101111111111101111111111111111101111111101111111111111100011111100000011101111111110110011111101101111010111100101111110101111101110111110111111100111111011111110111101111111110111111011010011111011110111111101110110011110101111000111101111011111111010111100111010110110111010010111010111111111001000111101111011100101111111111011010101001110101111011101110001111011111111110011011110110010101100111110010011111010001100111111011110
CHEMBL106683,11011001101111111111001111111111011011111111111101011111111111011111111100101011111011111110100111111100101011011111100111111111101001100010101111101111111111111011110110111101111100110111110111110011111001110111101101011101101110111111110111101111011111111010011100111010111010111010000111110111111111011100011001111111111101011011111011011111111010101111010100110101110011111111110010111111110110101110111010010011111100001100111011011110
CHEMBL79738,11111101101011111111101111111111111111101111011111111111110101111111111111111011111011111110110101111100101011010011101110011111101101101100111101101111111111111011111110111101110101110010111111111001111001110011111101011111111110111111110011111110011111111010111110111111111111111010001111010111011111111101011101111011111111111111111011110101001001111111011101110101110011111111110010010010110110101111111010010111111100001011111011010100
CHEMBL346810,01011011100111111111101011111111111111100111011101111111110111010011110111001001101110111110110111111101101111010111101110111111011111101111111111011111110111111011111110111100110110110011111011110011101011110111111111111110001110101111000111111111011111111010111100111111011110111011001111110011111111111100111101111011010101010111111011010101111101110101011101110101111011111110111111011111110010100110111110110011111100001010111111011110
CHEMBL2376666,11111011101011001101110111111101111110111111111101111111011111110110111100100000101101011110110111110000001110010110101010011110101101111101110101101111110111111001111111011001110100110110001111000111101001111011001001110111111110011001100100001111010100011111100100111000010011011010100110010111111101111100111101011111111100111110111011010111011010101011001101110101110111101111111010011011010000100100111010011010110100001000001111000110
CHEMBL321889,11111101101011111111011011111111111111111111111101111111111111011011111111111001111111110110100011100101101110010110101111111111111101111110111111101111110111111011111110111001111111110011111111111011101001010111111111111001111110101111110111101110011111111011111110111011111110011011001111000011111111011100011101011001110101111111111011011110001000101111001111110001111011111111111011011110110110101000111010010011011100001111111111010110
CHEMBL557231,01111001101111011101101111111111011111110111111101010111011110100111011110101011101110111111000111111001101111011110000111010101001101101110110111111111110111100001111110101111110100110111110111010011101001111111101001111110101110101111111110101010001111011111111100111110110111011010000111000011101110001101111001111110111110111111111011010110011111111111000101110101111011111110111111010111110010100010111010010111111000011100111010010110
CHEMBL158261,11011011101111111111101111111011111111101101111101111111111111010111010110101001101111111100100111111101101111010111100101111111011110101111111111101111110111111111011110101100110111110011111111100010111011110111101100111110001110101111010111111111011111011010111100111011011011111010001111110111111110011100011101111011111101011111111011010111001001011101011111110101111011111110111111111010110010100110111010110011111100100101111111011110
CHEMBL87939,11111011101111011101100111111111111111111101111101110111111111010011110110110011111111111110110111110101101111010010101110111111101100101110111111101111110111110101111110011101111101110111111111011011111011110111111111011111011110101111101111111111011111111010111100111010111110111010000111110011101111011100011101101011111101011111101010010111001100001111011111110101110011111111111111111111110110100100111010010011111100001101111111011110
