id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL360046,11111111101011110111000111111101111000010101111111111111011111000111110001110111111010011101110111110010001011001111101111011000011101001101110101011111110111110101001011011011110000110001101111110100101011011111101011011001101100001001100111100110010101011111111101101010111111010011010111010001001110101000111001000000101101110111111110010101001111111111010101110001110011111110110010110010010000100100111110010111011100000100111110101000
CHEMBL195232,01110111101011111111101111111111111111111111111101111011111111110011111010110011111101111111110111011101101111111101100111110110101100011111111111111111111111101111111111111111110110110101111111110001001111010011111111111101101110111011111110100100010111111011111110111011110111011010111110110101011111111001111101111101001111011110111111010111001111011111101100110101111011111110111011110111100110101110111100111101011000001100111111011110
CHEMBL1872841,11111010101111011111101111111111111010111110011101110111111111001111111111110011111111111110110011111101101110110001101110001100011111101111111111001111110111101001111111011101111100110111111111000001100000111011001111011111111110011001111111110101010111011011100111111010111111011111101111111111111110011101111101111101011111101101111011010111011101111111101101110101110011111111111111001110110110100100111100010111011100000110011111011100
CHEMBL1896263,10111101001111000111101111110111111110111101111101011111111111110111111010110011101111111111100111011110111111111010101110110111001111101101111100111101111111111001111111100101111101110101110111101001110111111111101101111111111100011011111110011111111111111111011111111011111111100010111111111011011111111001011101011101011111111111011011010101011110111111011100110100110011011111111111011010111111100010111110111111011100001000011111001110
CHEMBL1341243,11011001101111011111101111111111111111111111111011111111111111000111111100110011101011011110100011111100101110010110101110111100111111111101111111010111010111111011111111110111111111110111110111100000101111111111101111111111011110111011111111110110111111111011101111111111111010111010001111111111111110101101111001010101111111111001111011010111111100001111111101110101110011111110111111011111110110101110101110110111000000010100011111011100
CHEMBL1542876,11011100101111010101101011111111011111100111111101111111111011010010110100110011111111111110100011011101101011010000001111101110111111101100110110010111110111111001110111010111111110110111110111100001101011111111111111011110101111101011110111110111001111111010101110111111110100011110100111100111011111110001111101101101111111011111111011010011101011011001101101110101101011111110111011111010110010101110101010111111011100010001101011010110
CHEMBL1701182,11111011101111110101001111011111011110100010111101011111110101000111011010111011101111111100100111111100001110111111101111110101001101001100111101001101011111111111111010000110111101100101101111110011110011110111111011011100111110001101110011000110011111110111111100101111111111111010000111110111011111111100011001101111101111011110111110010111111010101111000101110001110011111111110110011110110000100010111100111010011100001001011111100100
CHEMBL3198259,11111011101011011111001111111111111111111101111101110111111111011011010110111001111011011110100111111110101111011011100111111101111111111110111111111111111111111011111111111101111111111011110111110011011110100111111111111100111110111111110111111111111111011111111101111010111111011011001111101011101110011000111001111001111101111111111000011111011110001111100111110101111011111110111101011111110010100110111010011011011100011111011111011110
CHEMBL1393780,10111101001111011111100111111111111111110101111101111111111111111111101011101011101011111110110110010110101110010110101110111100111100001111101100101110111111111101111111000111110111110011111111100110110101111111111101110101111110111011100110011111111111011111111101111011011111111000011111110011111111010101111001011001101111111111111111010111011110100111111101110101110011011111110011011110111110101101111010111001111100001100101011100110
CHEMBL3193997,11111111101011110111100111111111111110110111011111111011111111110101101011111010101111011011100111110000001110100110101110010110101101101111110101100110100111101101111111110101110110110111110111100011111000110111111111110001111100111101100010100110011111111111111101111010011111011010000111100101010111011101111001111000011101111111111011010111001011110111101101110101100011001111111010011010011010100010111100011110011100001100010011111100
CHEMBL64895,11011111001111010101101111111011111111100111111101111011011111000001010000100111101001011110000111110110001011001110100101110101111110101101100101111111010111111111011111101110010001110111111111110000101100110011111001011100101100101100111111011111010111011011100110111111100011111001011111000001011111111100011001011000011101011111111011011101010010111111000101110101110011101110111000101110110100110110101010011011011100111000001011000100
CHEMBL2000196,11110011001111010101101111111111111111110111011001011111111011010111101010110000101011111110110011111101101111010101101101000100111001101101110110100111010111111011111111111110110110110011010101101111101101110111101111111111111110111101110111100100011111011010111111101011011111011001010110010011101111011000111001100101000111011111111011110111001000001111010101110101110011011110111111011110110110110110101000111111111100000000011111011100
CHEMBL243823,00111010100111010101000101110101111011100000011100001110011111110010100010100010100110011100000110101110001010011101101010000000001110001110111100111111100111110001011001000011111100010101110111100011101000110111011001011000101100001001111111011110011101010101111100111001111100101100100111010011000110000110111001101001001101101011101110010110011110100101001100111101101011000110111110110111010000100010111010110000010100001100001011110110
CHEMBL1377488,01011011101010111011100111111011111111100111101111011111111111110011110111111011101111111110110011111000001111110111101100111111001001111101111101011110010111101101111111010110011110110111110111110011101001010111111111010001111110011101100110011110010111111001101101111110111101110010010111011001111111011001111001101000011100101111111010010101010110101111101100111101110011111111110011101010110110101101111000011000111100010100101001011110
CHEMBL428789,11011001001111011101101101110111111111111101101101001111101111111111111010100110101111111111000001111100001110110010101110110100011000101110111101111100110111111001110110110101111100110111110111110011101000111111111101011101111111111101100111101111011111111111111100111110111111111011111111110011111111111101011101111011101100111111111010011100011010111111101101110101110011111111111010001110111100101000111110011110110100001100011011000110
CHEMBL608092,10111011101110111111111111111101011111110101111001111111111111010010111110100010111111011110010011111111101110010101101111010010111001001110110110011110010111111000110110100110111110110111111111110001101011110110111011010110001110101011100110111111011111111111110111111011010111011010010111100011111110100001111001110000111111011011011000010111101011011011010101110001110011001110111011110011110000100110111010111001111000000001100111010110
CHEMBL1364988,11111111101011010111100111111001011110111111111101111111111001000111111011111011111011011111000111110110101011010111101111111100011001011011110110011111110111111101110111011011111110110111111111010001111001110111111111111110101110111011110111001111110111111011111110111111110110011100000111110011011111110101111101011101111111100011111011010111011001111011110101110101110011111111111011111010110010100110101010010101011000001101111011101100
CHEMBL1452003,11111001001111101111101111110101011011110101111101011111111111011111110111111011111010111111010011110101101110011111101110011100111111111111011111111101110111111011011011001001111101110111110111000101101010111111111101110111101110011111110111100111111111011110111110111011111101111010000111101011111110001100011001111001111101111110111110010111011010111111111101110101110011111111111001011011110000111000111010111111100100001001011111010100
CHEMBL1502410,01111001101111100101001111101111111110110101111101111111110011110111110000010011111011111111010011111100001011000101100111010101001101101111111111100101000111111001011111001101110100110111111111111011111001010111111101111110111110111111110111110111001111111011111101101010011011011010000110010111011111101000011001101000011111110111111011010100101010001101010101110101110010011110111111011111110110000010111110011000010100011100011111010100
CHEMBL595576,10111011101010111101110111111101111111100111011101110111011111011001000110110000111001011110000101110110001010001110101111010111011010001100100100011111010111111001110110101010010100110101111111110001101000110011111011011110101110100000101110011111010111011111111110111110110111011010001111010011011111101001011001001000111110010011111000111110001011111011010101110001110010001110111000110111110000100011101010110111111100110010101111100010
CHEMBL376760,01011011101111010110101111111111101111010111111101111011001011100011000010110111111000011110000111110110001011001010100101011100101111111000101111111111010111111111110011111111010010110101111111100001101101110011011111011100101110101101100111100110110111011011101111111111110111111100010111000011011111101100111001011001011101011011111011011101011010110111000100110111110011111110110010111010110110100110101110111111011100010001001111000000
CHEMBL1576896,01111100101111111111100111111111111111110011111101111111111111110111110110110001101111110110100100111100101111011111101010011001111111101100111111101111111111111011101111111101110100110111111101010011101010110111111101111110101100110101111111111110011111111011101110111011110111110000001111010011001111010110111001111110111111011111111011010101111101011111101100110101110011111111111111011011110010100110111010011011011100011010111111000100
CHEMBL1762363,11011010100011010101100110111101011111100101111101011001001011100000000000100100111001011110000111100010001011001110100111111110111111111100100100010110010110111101011011101010010100110111011101100001110000011011101001011001101100101000110111110110010111011001110101111110100011011100100111000001001010101001111001001000011110011101111010010110011100100111001101110000110111001110011010100010110000100010101000111100011100010000001011000110
CHEMBL1762362,01011010100011010101100111111101011111100101101101011001011011100000000000100100111011011110100111100010001011001110100111111110011111111101100100010111010110111101011011111010011100110111010101100001110000011011001001011001101100001000110111100110011111011001111101111111100011011100100111000001001010101001111001001010001110011101111010010110011101010111001101110000100111101110011010101010110000100010101000111100011100111100001011000110
CHEMBL1762361,01011010101011010101100110111101011111100111111101011011011011110000000010100100111111011110100111110010001011001110100111111100011111111101100100111111010110111111011111111010011100110111010101100001111000110011001001011000101100101000111111101110011111011001111101111111110011011110100111000001111010101001111001011010011110111111111010010101011101011111000101110100100011111110011000111010110000100010101010111100011100100000111011000100
CHEMBL1762360,10011000101101000111100111111001001010000101101101111001001011101000000000100010111001011010000011101110001011001110100101100110101111011100100110010111010111111101110011101010010000110111111101100000100001110011101011011000101100101000100111010110100111011001111101101111100111111100110011000001011110001001011001001100011110010001111010010110011100100111000101110100110011100110110010110010010101100110101000111111001100110000000011000010
