id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL128458,11111111001111011101001101111011111011111111101111111101010111110011011010111100101110011111100111111110101110011111101111110100111100100100110100010111010111100101011001111110110100110111110111110110101001010011111111011000101100001111111110000101010111011101111110001011111011011000000010010001101111011100011110101100001101111111011011011111111010101111000101110101110011111111111110111011110000100100111100110111011100001001101011100100
CHEMBL318566,11011010001111011101100111110001011111111011101101111111010111101010001010100010111011111111100111010110001010010010101110110100011010101111110110111111100111110101001110110011110110100111111101100000001010111011101001011111101110101010110011001101001101011011101100101000010111011010010111010111011111001101101001001111101110100111111011010111001101111001001101110001111011011110110010110011110110101110111110110101111100001000011011010110
CHEMBL335171,10111111000011010111000111110001011010110111101101111100111111100011010100100110100011111101110111110100101111011110101100001100101000100100110101011111111111101101011011100011110110110111111111110111101011110111111101111100111100111011110100101111001111111101110100101010110011011010000110111001111110111001111001111100001111101111011111010111011010001011101100110101111011111100110110111011110100100111101110110101011100111101111101100100
CHEMBL73142,11111011101111011111101111111111111011111101111111011111011111010111110011110111111110111110100011110100001111111111101110011101111111111111110111011111111111111001111111100111111100110111110111111011100011110111111111111101111100101111110111001110001111011011101110101011110111011011100111110111011111011101111101111110011111011111111010011111111001010011111111110111110011111110011110001010110000101010111110011101011000010101011111000110
CHEMBL85282,10011011101101011101010101111111011110011101011101011110011111101011111010110101001010011111100111010101001010001110101101000000111000101100000101011111110111110011010110111010110010110001101111100001101000011111011101111100101110001111110110001100011101111111111100110001111010001010100110100011111111100000111000101100001101011111101010011101001110101111000100110001110111111111111010110001110100100000111100010000011100000100111011110100
CHEMBL439487,00010000100001100001100111110001011001100100101001010001100111100011000010000000010000010001000111010110001010001010000011110101101110010100100100101110100110111001000011001010011000110001000111110000100000101111101011010000101100000000111100000110010111011101011100011000000011000000110110000011000010100000011001011101001101011100101100010101001100101101100101111001100001001110110110100010110010110100101000010100010000110000001001100100
CHEMBL138441,10110111101111010111100011011111011101011101101101111111111111110010111010111011001011111111100111110010001011011010101111110001011111111100000101011111110111110001111111101011010100110011111011110001111010011111011101011110101100101111110110010111001101111101111110010001110101001010101111100011101110101100111001001111001100111111111110011101001011111111000100110100110011011111110010110010110010100110111110010000010100010100011011110100
CHEMBL46780,11111101101110011111100111111111111111110100111111111111100111011111111010110010001101101101000011111100001111011101100110011001111111101110110100011110110111111101111110100110110110110111101011010011101010111101101111111101111100111110010011010111011111011111111000111001110110011010100111100011111111101001111101111110011101101110011011011111010111011111011100110101110011111111111011111011110000100100111100011000010100001100011110000100
CHEMBL17024,00111001101110011111011111110001111011111011111110011111011111111111011010111000100011011101100011010110001111011111001111110110111110011101010100011111110110111101011011100001110100110111111111110100101000111111001101011000101100011010111110111111010111011101111110111000110111011000000111010011101110100100111101001111101101111011011010000111011111111111001110110100111011111110111011001010010010100100111110110011011100001000011111000110
CHEMBL419543,10011101101111011101110111111001111101111100101101100101011111110010000010110001011011010111100111010110001010001100100111110110011101100110111100011110010111110001000011011011110110111011111101100001111000111101101111010100101100011000110110011101101111011111110100111010100110001101101111100011001110101000111011011101000100101101111100011110001010101101000101110001100011111110111010110110010000000110101000010011010100000000101000100110
CHEMBL312904,00011100101111000101100110110001011011000000101111111110011111100000010010110010100001011111000011100110011010001110100001110100011010000000010101011100001111111101000011110010110100110001100111110000111001100111111111011100101111011011100110000100011101001111001000110100100111010000100111110011001110101001101000001101111010110010111100010110010001110001000100110001111011101110110010110000010000101010101000011000011100011000101001100100
CHEMBL360684,10111101101110011111111011111101011111100111111101011111010111101111111110110011111011111100100111110010101110011011100110110101111010101101111101001110100111111111111011101001011000111110111011110110110000111111111010111111111100111101111101001111011110011111111110011110111111011000101111010011101110001001111001101100101111111111111110011101001010001101011101110101111111101111110010011110110100100111101110010011011100111100111110100110
