id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3134070,00011110100011110111101011110011110111111101111101111111011111100010000000100010101001010111100111010110001011011111101011100011011101011100110100010110110111111001100111101111010000110001010011110001110001101111101111010000101110110110100110000111101101011111111101111111100011011000110111000011100110111000111001011000101100011111111110010111011110101101010100110101111011011100110110111110110000100110111010111111011100011100001001101010
CHEMBL3134071,00011110100011110111101011110011110111111101111101111111011111100010000000100010101001010111100111010110001011011111101011100011011101011100110100010110110111111001100111101111010000110001010011110001110001101111101111010000101110110110100110000111101101011111111101111111100011011000110111000011100110111000111001011000101100011111111110010111011110101101010100110101111011011100110110111110110000100110111010111111011100011100001001101010
CHEMBL314107,01111001101111111101100111111101111101110100111001011111111111100011111110110011101100111110100011110101001111011111101110110010111011111100111111111111110111111101011111101110111110110111110101010011101001111111101111011001111110011101111110101111011111111000101111111011111010111010100111100011001110101000011101101101111111011011111011111111001101011111111100110101110011111110111011101011110000111100111110110011011100011011011111011110
CHEMBL1626,11111001101111111111001111111101001111110111101101110111111111011011110110110111111101111110000011010101101110011111101111111111111100111101111111011111101111111111111111111111111101110111111111110001000101111010111101011100101110101101110111111111011111011011101111111010110111010010010111110001011111111100111101001101111111111111111011010111101110100111100101110001101111111111111011100110110010101000101010011011011110111101111111001100
CHEMBL115280,11011000101111000101101011110111111011111101101111110011010111110011111010110000101011011110100011111000101111111111101011110110101010111101110111111111011111111101011011111011111100110111011101110011101101110111111111010101101110111111111111011111111101111011110110011111110000111011100110101011001110101101111101111101111111011011111011010111011111111001110101110101111111101110111011110011010010110010111000111101011110010001111110000100
CHEMBL3805826,11011001101110110111101011111101111111111111111111111111010111110011011100010110101111010111100011011100101011011010101111010000111111111111101100011101110110111011110111111010110100100111011111100100110000111111111101111100111100011111100111001111111111011111110111101101110111011110010111010111111110100100001101001101111101101111111110010111011011011011110101110101111011111110111011110110010000100110111010110100011000011100101110001110
CHEMBL1276268,11111011101111011111101011110111111111111111111101111111111111011111110011100111111101111111100011110101101111011111100111111110111111011111001101111111101111110001111111101111111111110111111111100111101101111111111111011110111110101111110111001111111111110111111111111011111111111011011111010111111111111000111101101010111111111101111111010110111111011101110101110101111111111110111111101011010110101110101010111011011100111101011111011110
CHEMBL1276269,11111011101011010111110111110101111111111111111111111111011111011111111111100110111101111111100111010101001111011111101111111111111100101111011101111111111111111001111111111111111111010111111111100101111101111111111111011110111110001111110111001110111111011111111100111011111111011010011111000111011111111100011101001001111101111001101111010111111010101011111101110101111011111110010110111010010110101110111000111001011100101100011111011110
CHEMBL218166,10111100101110010111101001111101101110111111111101111111111111111011111010110100101010111110100111111100101111111100101111011000101110110110111100011111110111111101011111111010110100100111111101110010101001010111011101111001111110111011111110011110101111111011111100111011111100011111000111010011111110001100111101001110101110001111111010010111011111101101110100110101111111111111111011110010110000100010111010110101011100011011111111101100
CHEMBL415300,01110011101111011110101111111111111111111100111101011111111011010111000100110011111111111111100011111001100010010011100111111100101111111101110110011111111111111101111111111110111101110001110111101000100011110011101111011101101110101111111111100111011111111011101101111111110011111010010111101011111111111101111101111001010111011011111011110101001011110111100100110101111111111110111011101111110110100110111010111111111110011100111011010110
CHEMBL1276559,11111011101011011111110111110101111111100111111111111111011111111111111111100111101111011111100111110101101111011111101011111111111101111111011111111111111111110001111111111111110101111111110111100001111101011111111111011100111110101111010111001110011111111111111110111011111111111010110111010111011111111100011001001001111101111101111011001010111011011011001101110101111011111110010010111010010110100110111010111001011100101101011111011110
CHEMBL8514,00011111100011111011101111110011111111101111101101110111011111100111111110111000101011111110100011010100001011010111101000110101111111010110111110011111111111111111111111001111110110110011110111110011100111101101111111111101111110111010111110111101011111111011101110111011110110011110100110000001101111111100111101011111101101011111111011110110101110011011100101110101111011010110111001101011010000110010111100110111011100011100111111011110
CHEMBL1945504,01011001101011110101100101111001111110101111111011010101111111100000001010110010101010111101110111111110011111011100001111010101001011000101100101111111110111111101011011100111110001100011100011100001100111100111101001010110101110110110110111010010001011111111111110110000110010011110000110000001001110101100011001000100111101011000111010010111011100001101100100110101110110101110111110010010010010100010111001010001011100000010001000001110
CHEMBL83658,01011001101111111101101111111101111111100110111011010111110111110011011110111011111100111110110011111100101111001011100100011010111111110100111111011111110111111111111111111010111111110111110001010011111001111111101111011001111110011101111111111111010111011011101111111011111010101010001111000011001110001100011001101110110101011111111011011111001100101111111100110101110011101100111011101111110000111110111100110011011100011011001111011110
CHEMBL477821,01010001101111001101101001111101101110101111111111111111111111100111110010110100101110110111100111101100100001011110101111110111011000111111111110011111100111101111110110111110111110110011110101110011101101110111110101110000111110111001111110111110010111011011111001111011010111111010011110010011111110101100111001111111101101111111111011010110001110101101100101110001110011101110111011110111110000100010111010011111011100011100000111001110
CHEMBL1276677,11111011101111011111100111110101101111111101111101101111111111011111110111100111111111011111100011110101101111011110101111111110111111011111001101111111101111111001011111100111111111110111111111100111101101111111111101011110111110101111110111101110111111110111111111111011111111111011010111010111111111111000111101101000111101111001111111001110111011111011110101110101111011111110111111111111010010101110111010111001011100101100011111011110
CHEMBL304692,11111011100111010101101011111101111011111111111101011101111111010111110110110110111100010101100011110000001011101110100111111101111111111110111111011101110111111111110011110110110001110111111101110010101001110111101101111101101110111011110110010111001111111001101110111111111001011110011111010010011111101101111101010111011111111111111011010111001110001101110101110101110111111110111010110111110010100110111010110111011100011100001011010110
CHEMBL81485,11011010101101111101001111111101111111110110111111011111110111110011111110111011101100011110000011111100101111001011100101011011111111110110110111011111110111111111111011111010110110110111100011010011101001111111101111111000111110011101111111111110010111111111101111111011111010101011000111001011101111011100111001101111110101011111111011011111011110101111111100110101110011111100111111110111110000101110101100110011011100011111001111111110
