id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL1813306,10111011101111110101111111101101101111111111111111011101110111011011111110110001111011111111110011111101001110001111101111110111111111011111110111001111111111111111011111011111110111110011011111101010001110111011111111011110011110101111111111111101011111111111101110111111111111111110111111110011111111111100111001111001111100010111111011010111001111010111101101110101110011111111111111101011010110100100101110111111111110111101111111000010
CHEMBL1813307,10111011101011111111111101111101111111111111111111011101110111011011010111110001111011111110110011111101101110001111101110110101111111111110111111011111111111111111011111011111110111110011111111111011011100111111111111011110101110101111111111101111011111111011101110111111111111111111010111011011101111011100111101101001111101011111111011010111111110001111100101110101110011111111111110101111110110110110101110111111111110011011111111011000
CHEMBL1813308,00111011101011111111111101101101111111110111111111011101111111111010011110110011111011111110110011111100101110001111100110110111111111111110111111001111111111111111011111011111110111110011111111111010001010111111111111011100101110101111111111111111011111111011101110111111010111111011101111101010111111011100111101111001111101011111111011010111101011001111101101110101110011111111111011111111010000100110101110011111111110111101111111000110
CHEMBL1830892,10011001101111010111101111111101011011100111111111010111111011101010100000111011111011111111000111111101101011111111101111010010111010001101110111011111110111111111111111111010110000110111110111110011101001111111011110111100101110111110111111111100001111011011101111101101010010011010101111010101101110111000011101011100111101011111111011110001011110100011000100110101111011111110111000101010110000110110111110010101011100011100111111010100
CHEMBL467512,11111011101111111111101111111101011110111110111101111111110111111111011111110011111111111110101011111100101110011111101111111101111111111101111011011111110111111101101111111101111101000111111001110011101010111111101011111101101110101101110111010111111111011111101111111010111101111010011111011111011110011100111101011001111101101111111010010111001101111111111100110111110011101111111011001111010010101110101100010000011000001000011111010100
CHEMBL467513,11111001101111011111101111111001011111111111111101111111111111011110011111110001111110011111100011111100101111011111101110011101111101111111101011011111110110111101101111101101111111100111110101110011111010111011111011111111111110101111110111011111111111011110101111111011111110111010001111111111011110011100111101111001111111101111111010011111011100101111111100110101110011101111111111001111010010101110101000010001011000001001011111010100
CHEMBL63703,11011110101111010111101011111111011111011001111111110111011111110011011111110111111011011111100011111100101111011111101111110100101111111111111101011111111111111111111111111111111100100101110101110011110001111111111001111000101110111011110111011111011101011111101100110010111011111110001111111011111010111001011001001111111111111101111010010111000110001101110101111111111111111111111111100011110010101010111010011011011010111110111111011100
CHEMBL213229,11011011100011110111101111111101111011110111111111011111101111010111011110111010111110111111100011111100101011111111100111110110101101111101111111010101111111111111100111011011111000110110111111111011100111101111101101111111101110011111111111111111011111011011101111111100110010011010001111110011011110111101001001101001111111111101111010011001011010101111100100110001110011111110111111111011010010100010101000011011011100001100001110011110
CHEMBL1683884,11011101101011110111011111111111011111101111111001111111111111011111111110111001111111111110110011111101101111111110101111111110011111110110111111011111110111111011111111111101111111110011111101111010101111101110111111111100111110111111110110111111010111111010101110111111111111111111011111101011011110001100111101101011111101011111111011010111111110011111001101110101110011101111111111001111110010100110111010110010011000001111111111010110
CHEMBL1683885,01111111101011110110011111111111011111111111111101011111111111011111111110111010111111111111100001011101101111011111101111111111011011110110111111011111110111111111111111101101110111110001111111111010101111101110111111111110011110111011110111111111010111111110101110111111111111111111011111101011011110111100111101101001111101011111111011010111011110010111101101110101110011111111111110001111110110100100111010111111011000001111111111000110
CHEMBL585708,01111111101111010011101111111101011110111100111101111111111111000111111111110011111011011111000011011110101111011110100111110101111000011101110110001110010111111101111011111110110110110110110011110010001000011111111101011001111110101111110110111110110111111111101111111011111111111011001111110011011111011100111101101001111101111111111011010111011110101111100101110101110011111111111011111011110010100100101000011001011100011110101111011100
CHEMBL201960,11111001101011011111001111111111111111111111111111111110001111011111111111111011111111111110100111110101101111111111101111111110111101111111111101111110101111111111101111100101111111110011111111110111111101110101101111111000101110111111110111101111111111110010110111111011111111011010011111111011111110001101111100101111111111110111111110011110101010001011111101110101110011111110110011111111111000100100101011011111011000001111111101001110
CHEMBL1683880,11011011100011011111101111111101011111111111111111111111111111011011111010110011111111111111100011111101101111011111101011111110011111010110110111011111110111111111111111111111110111110111110111101010100111100111111011111110111110111111110111111110011111111000101110111111111111111111110111100011111111101101111101111101111111010101111010011111101111011111101101110101110011101110111011101111010110100110111010111111011100011111111111011110
CHEMBL1683881,11111011101011011111111111111101011111111111111111111111111111011011111110110011111111111110000011111101001011011111101111111110011111110100110110111111110111111111111111110111110111110011111111101010001011101111111111110110101110111011110111111111010111111000101110111111111111111111101111100011111111001101111101101011111111011111111010011111111111011111101111110101110011111111111111001111010110100110111010111111011010011111111011010110
CHEMBL1683882,11011001101011010111111111111101011111111011111111111111111111001011111010111011111111111110100011111101101111111110101111111110011111110110111111111111110111111011111111110111111111110011111101111010001011101111111111111110101110111111110110111111011111111010101110111011111111111111011111100011111110001101111101101001111111011111111010011111111111011111101111110101110011001111111111001110010010100110111010111010011000011011111111011110
CHEMBL1683883,11111001101011011111111111111101011111111011111111111111111111011011111110111011111111111110100011111101101111111110101111111110011111110110110111111111111111111011111111110111111111110011111101111010001111101111111111111110101110111111110110111111111111111010101110111011111111111111011111100011111110001101111101101001111111011111111010011111101111011111101111110101110011001111111111001110010010100110111010111010011000011011111111011110
CHEMBL1683888,11011001101011010111111111111101111111111111111011111111111111001011111110111001111111111111010011111101101111111110101111111110011010110000110110111111110111111011110111111101111101110011111101110010101011101111111111111111111110111111110110111111011111111010101110111011111111111111110111100011011110001100111101101011111101011011111010011101001111011111101100110101110011001111111111001110010010100110111110111010011000011011111111010110
CHEMBL1683889,11111001101011010111100111111101011111111111111011111111111111001111111110111011111111111111110011111100101111111110101111111110011110110110111110111111110111111011111111111101111111110011111111111010101111101111111111111110111110111111110110111111011111111110101110111011111111111111111111101011111110101100111101101001111101011111111011010111001111011111101101110101110011001111111111001110010010100110111010111010011000010011111111010110
CHEMBL224771,11111010101111111101001111111111111110110111111101111101111111110011111111111101101111111111110011111101001111011111101111111001111101101011100101011111101111111101111111100111110110110111110111111011101101010111001111111110111100111111111101111111011101110011101111111111111011011010010111110011111111001100111000101001111101011111111010010111011110101111110101110101111011111110111101110101110010101110101010011000011100111101011111011100
CHEMBL2430685,01111001101111011111101110111111011111111111111111111111111101110111111100111001111011111111110111111101101111010110101111110111011100011110111111101111111111111111011111110111111100110011110111111001101011110110111111110110101110101011101110111111011110111011111110111111011111111110010111110011011111111101111101111111111011010111111011010110111011010111110110110101111011011111111110001111110010100100111010111111111000001110111111010110
