id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL364015,11011011101101111101101110111001101111100100101100001111010111111011111000111001111101010011100011110011001111001111100011110110011100001100110110011111010111101101010111011111111100110111111111100010101001010111001111011100101110110111111110011110011111011101101101110110110001011000110111010011101110101001011001101101011111010111011010010111101110101111100000110101111010111110111011111010010000100110111000011001110100011100111001000110
CHEMBL1200545,00111001101111110100000110110001001010100101111101010100110101100011000000100100001101010011000010010110001110001100100011100101101101111100010110010111000111101001010111001001110000110011111011100001101001010111001101011100101110011000010110000110000100011001111110000000000001000001000111000011001101000000111001001110001111011111111110010110011110001111000110110101110011011110111110011010010000100110101000111111010100000100001011010010
CHEMBL365546,11011011101111010101111110111101001111110101111101101111011111010001011110110010111011101110100011111100001010001110100111110010011111101100110110001111110111111011111111001011110100010111011111100001101010011111001111011100101110101100111110100111011111011000101100110000110101011000111111011010011111111001111001111111011111011101011011010101011100101111101101110101111011111110111000111010010000100110101010011011011100011000010111000010
CHEMBL347159,00010011100111100100110110100101010010000000001100011100110011000011000000000010100010010001010110010010000010001000000111000000011110101100000000000110010111100101011001100010010010100001010011100101101000110111101100011100101100001011011110101111001101011001111100100001000010011000000111010010011100100100011001001000001011010011111010010101000110001111000101110100010011011110111110011000010000100010111110010000011100001100000011010100
CHEMBL1255080,11011001100110011111101111111101111111100111111101100001111111010101110000110010100011110110100011111100101111001110101110110111011010001110110100010101111111111101111010110001111101110110111111110011110010111111001111011110111110001011110111110110011111011011101101111010111010011010101111100011001111010101011001101111111111010101111011010110011010011011011101110101100011111111111111011110010000100010111100011111011100000100111110000110
CHEMBL1684359,00111001101001110111110111110011011111100111111000010011111011101000000000100000101000011110100011010100000011010101101110011100111100000100110110001101010110110101010111010101010000110011100111101000100000111011001001111101111110001000111100100111011100011111010001011010010011011000100111000011011110110000011001011100101100111111111111010110011010000011101111110101100011011110110100010010010000100010101110010000111000000000011011000010
CHEMBL1684358,00111001101011111111110111111011011111100111011001010110111011100000001000100000101001011100100011010100001011010101101100011100111100001100110110001111110111110101010111010101010100110011010111101000100000110111001001111111111110001000111100000111011100001111000001011110011000011000110111000011011010110100111001111110101000110111111110110011010010000001101100110101110001011110110100011010010000100110101010000001111000000100011011000010
CHEMBL3667040,00111000101110111111001101111011011110100110111101101111110011110011000010110010111011111100100111011101101110001111100111000111011000111100110011110111110111101001011111001001010110101010000111100010111010010111011111111110011100011100011110110111000100011001111001011010111001111000001011010011011110000000111001101000001111011111111010000101000010001111000111110101101011011111111110011110000110000110101100011000010100000100100011011110
CHEMBL1684354,00111101101011111111010111111011011111100111101011011111111011101000001110100000101001011110100011010100001010010110101110011100111100100101110011001111110111110101010111010101010001110011110111100000100000111110001101111111111110001000111100100111011110011111010001011010010011011001100111000011011110110100111001111110101100111111111111010111011010010001101111110101110011011110110100011010010000100110101110000011111000000100011011001010
CHEMBL1684357,10111001101011110101010111111011011111100111111000011001111111101000000000100000101000011110100011011100000010010100101110010100111100100101110111001111110111110101010111000101010001110011100111101000100000111001011101111101111110001000111100100111011110011111010001011010010010011000110111000011111110110000111001111000101100111111111111010111011010000011101111110101110011011110110000011010010000100110101110100011111000000100011011000000
CHEMBL1684356,00111001101011010111010111111001011111100111111001011011011111101000010000100000101000010110100011010100001010010100101110010100111100100100010111001111110110110001010111000001010001110011000111101000100000111111011101111101101110001000111100000111011110011111010101011010010011011000100111000001011110010100111001101100101100111111111111010111010010001001101101110101110011010110111100011010010000100110101110000011111000000000011011000000
CHEMBL1684351,00111001101011110101110111110001001111100111111101011011100111101000000000100000001001011100100111010000001011010100100110011100111100100100110111000111010111110101010111010111010100100111010011100000100000111011001101101111111110001100111100000111011110011111010011011010010010001001110111000011111110110100111001111000101000111111111011010111001010000011101100110101110011011110111100011010010000100110101110100011111000000000011011000010
CHEMBL1684350,00111011101011100101110111110001011011100111101111001111111011111100010010100010100010011100110010010100001011000100001100010100111111100101111111101101110111110001010111000101110101110001000111101001100000111111001101111110101111000000110110000110011011111111111001111110001011001101100111000001001111100100111001011000001100101111111110010101011010000001100101110101110011011110110100010010110000100110101010100001111000000000001011000010
CHEMBL1684353,00111101101011100111110111111011011111100111111111001101111011010100000010100000101011011010100010010100001010010100001110011100111100100100110111001100110111110001010111010101110101010111000111101001101000111111001101111100101111001000111110000111011011111111111001111110001001001001100111000001011111100100111001111010001100101110111011010011011010000001101100110101110011011110110000011010110000100010101010100001111000000000011011010010
CHEMBL1684352,00111001101001110111010111111011011111100111111001001101111111101000000000100000101000011100100011010100000010010110101100011100101100100100110111001111110111110001010111010101010101010011110111101000100000111111011101111101111110001000111100000111011110011111010001011110010001011000110111000001011110110100111001111100101000111110111111010011011010000001101100110101110011011110110100011010010000100010101010000011111000000000011011001000
CHEMBL258191,10111001101011011101110111111011111111100011111101111111100111110010101110110000101000111110110011011000101111010101001100011100011110001100110101011111110111101101111111001011110100110101110111110000100111111111101101110111111110011010101110110110011000011011000111011110111100011011101111000111111111110010111001000100111101011111111011010111011111011111101111110101110011011110111110011010010010100011111010110001111100010101011111100010
