id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL179725,01110000101111010100100100110101011011101101101100011111011101110010001000100000100010010101000111011110001010010111101110010000011000001110110100111111011111111011000011000011010101110110111111100000101101000011011011110100101110001111100110100001011111111001101000111000101111111000010110010011001110101101111001011001001110111010111010110111010110100001100100110101111001001110111000110010110010110100111001011111010100001100011101000010
CHEMBL284861,11111011001111111111001111111101111111111101111101111111111111011110100111111011101111111110010111111101101111111111101111011100111111101111111111111111011111111111111111111111111111110111111101111011011111110111111111111100111100111011110111110111101111111011111110110011111011111010001111011111111110010100111101111101111111111111111011011101111111101111110101110101110011111110111011110011110010000110101010011111011110011111111111011100
CHEMBL3699445,11111011101011000111101001111101011111111111101111011101011111111111010111110011111100111111000111111010001110111111101011101011101011011101110101001111110111111111010010001010010001110010111111110011101011100111001101010000101100001011110101000110010111011100111100101001100111110010000111110011001101111100111011111100111101101100111110010111000011111101000101110001111011011110010010111011110000100110111100011111011100001100000111110100
CHEMBL3699444,11111001001011000111001000111101011111111111101111111100111111011111000010110000101100011111010111010010001110011111101011101111101010011100110101001111110111111111010010100010010101110010111111110011101010110011001101111000100100001010110100001110010111111000111100101001111111111110001111110011001111111100111101110100011101101101111110010111010011011001000101110001111011011110010010111011110000100110111100011110011100001100001010110100
CHEMBL3699446,11111011101111000111101001111101011111111101111111111111111111011111101001110001111110111111100111111010101110011111101011111101101110010001110111001111010111111011010110101010010100110010111111110011101111110011001111111010001110001011110101111110010111011001111111101011111111111011000111100011101111011100111101011101111101100010111011010111010011011101000101110111111011011110111010111011110000100100111100111111001100001101101011011100
CHEMBL3699443,10111011001001000111001001111101011111111111101111111101111111010111000010110010111100011111000111111010001110011111001011100011111010011100110101001111110111111111010010100010010101110010111111111011101010110011001101011000101100101011111100001110010111111000111100101001101111111010001111110011001111111100111111110100011101100100111110010111010011011101000101110001111010011110110010111011110000100100111100011110011100001100001011010100
CHEMBL3093035,11111011100111010111101111111111111111111101111101011111111101110111010110110011111110111110110011111101101011010111101110110110111000011111111111110111110111111011111111010101110101110011110101011011100111110111111110111111111110111011110111111110110111111011111110111110011111111010001111100111111110011101111001001001101111011111111011010111111001111011111111110101110011111111111111011111110010100101101000011111111000001111111110011000
CHEMBL225519,11011011101111111111101111111111111110111101111101111111110101110111111110001010111110111110110011111100101111111111100111110110111111110110011111110111110111111001011111010101111101010111111111011011101011100101111111111110101110111011110111111111111111111011111110111101111100111011011111101011111111011001111101101001111111011110111011010111111101011111101111110101110011111010111111011111110010100111101000111101011101001111111110000110
CHEMBL403385,10111001101111100111101111111001110110100111111101101110111011000010100010110010100001110110010011110100101011010110100100110111111010101110110101001111110111111001111110000000111000110111111111100010101000100111101100111110111111101111010110010110001110011111101111111010010011111000100110010011011110011001111001011111101111010111111010010111001110101111101101110001111011001110110110011010110110100110101010110111111100010100011111000110
CHEMBL37342,11111001101001110111101011111101111111110110101111010111010111110000001001111011111110111110110110111100111110111110101111011100111110010100110111010111010111111011001011001011110000110111111101010011100001011111011101111111101110111010111110100111011110111111111000111110111100011010000111100111001111111101111001101100101111101111111010010110001010100101100100110001100011001100010110011111010100100110101100011001010100001110011110110100
