id,bqaffp_90_2.0
CHEMBL375062,10111111111001010111110111111111011110111111101101111110111111111011111010100011101101111111000111110010111111010111101111011111111110001101111101001111110111111111011111001111110000110111111111110001101111111111111111010110101111101011101110011110111111111111110100101111010011011111101111111111001111111001111101111101101100111111111111110111111110110111100101111101101011011110111111011110111101110110111101111111111100001111010111111110
CHEMBL99456,11111111111101010111111111111111111111101111111111111111111111111110111110100011111101111111100111111110111111111111101111100101111101111101111110110111110111111011010111111111110101100111111011110111111101111111011111111110111111111011111111011111111111111111111101111111111110111110101111010111111111111101111101111110111101101111111101111111011110101101111111111101111111111111111101011110111011111010111111111011111000011111111111111110
CHEMBL1808241,00011011101111000001101110111011001011101100011101111001111011100010110000110001110010011011000011011110010100001110100111111110111111011100110100111111110111110101011011111011010100110111010111100011001111111011111101011001101111000101101110000101011101111101101101111110111010011001110111011111000110110001111001111101011101011111111010110111011100101111000100111101111101011110111010111010111011110110111111011111111100001000011101101110
CHEMBL1808240,10011011101011100001111110111001011011101111011101111111111011101011100010110011110010110111100011011111011110001110100111111100111101111100110101011111110111111111001011011011010110110111110111101011101011111111111111111101111111111111101110000110001111111111101101111111111010011101110111011111100110110001111001111100011101111011111011110111011110101111010101111101111111011110111010111110111011110110111111111111111100001000111101101110
CHEMBL1808243,00011011101111000101101110011111001011101011011101101011111011111011110010110001001011110111000111000111010001001110100111011100101111011101110111111101110111111111011001000011110100110001010111111011101010111011111101011110101111101101101110100111011110111111111101101111111010011001110111010011000100111101011001111101011101111111111011110111011100101111000100111101111111011110111010111011111001110110111011111101111100000001011100101100
CHEMBL1808242,00011001101111000001001100111011001011100101011111010011111011100010110000110001010011011111000011011111010100001110100101110011111111001100110111111111110111111101010011111011010100110111010111110011111111111111111101011100101101000101101110000101001101111111101101111111111010011001110111010111000110110001011101111101011101011011111011110111011100001111000100111001111111011110111010111010101011010110111111110111111100001000001101101110
CHEMBL1808246,00011011101111000001001110111111011011101101011111111101111111110011010101110001100010011111100111011111010101101111100111111010111011111100110111111111110111111111010011111111110100110011010111100101101011111111111111011100111111001101111110000111011111111111111100101111111110011111110111010111000110111101111101111111001101111111111011111101011110101111000100111101111111011110011010111010111011110110111111111011111100001000011111101110
CHEMBL1808249,00011011101111000011010110111111001011101101111111111001111111110011010100110000100010011111100111011110010100101111100111111010111111111100111111111111110111111101010011111111010100110011010111100101101010111111111101011100111111001101111110000111011101111111111100101111110110011111110111010011000110111101011101111101001101111111111011111101011100101111000100111101111101011110111010111010111011110010111111111011111100001000011111101110
CHEMBL1808248,00011011101011000011010110111001011011101101111111111101111011100010000100110011100010011111100111011111011110101111100111111010111110111100110101011111010111111111001011001011010100110011110111100001101011111111111111011100111111001111111110000111001111111111111100111111111110011111110111010111010110111101111101111100001101111011111011111101011110101111000100111101111111011110111010111110111011110110111111111011111100001000011111101110
CHEMBL539473,00010000100100000100010000111001011010000010000000010001100101000010000000100010100000011100000111000010011010001000100010010000101000001010110101000100010111110101010001100010010100100001000111010000101001000011001011011100101101000000111110000100001011010100010100100100000001011000000110000010000001101001001001010100001100010100101000110110000110001001000100111000101011000110111010110010111001110000101001010000110100010000001011100100
CHEMBL233148,11111001111011100111110010110111111111110111101111011111111111111011110010110111101110010111010111110111111110111110101011101101111110111111011101101111110111111101010011100000110101110111010111110001101101111111111101111011101111111010111110100110011111011111111111101111110011111010111111011010001111101001011001011110111101111111111010110111011111111101101101111101111111111110111100011011111111110110111111011011111100001100011011101010
CHEMBL1089393,11111101111111110101111111111111111111110011111101111011100111111011101010110011111100111111110011110111011110000111101111110101111111101101110111011110111111111111111111111111010110010111111111110001101101110011111111111100111111101011111111100111010111111111101111111101110000111111111111011111111110101101111101111110011101111111111011110111111111111111010101111101111111110110111111011111111011110110101011111001111100111101111110100100
CHEMBL510898,00011010101001100101000110111001011010100011101100011011111111000010000000000000101010011001100101110010011010010010100010000010011100000000010100010110010110110101010110000110110000100101100111010000100000000111011101011000101101101100101110001110000100011101011100111010010010011000100111000011000110100001011001001101000101100011111010010111011110101101000100111001111001001110111110010110111001110010101000010111111100010000001010100010
CHEMBL195122,10101001111001110101111100110101011101110001111101010111110111000011100010110010101110111111010111011110111010011011100010000010011110111101110101011101000111111101010110100011110100110101010011100000100000001111101111110101111101111100101111111110001111111101110110111010010101011011101011111001011100101001001001111100001111010011111000001110011111111111001101111001111011011110111000111110111101100010111111110000111100010100011111100110
CHEMBL140811,11011110111101010111111011111011011110111111111111011111111111110100111011110111101100111110100111011010111111011110101101010110111111001111101101111111110111111101011111110111110100110111111101110101111101111111111101010100111111111111111110010110001111011111111110111111111010111111111111011111111111111101111101111100111101011111111111110111001110001101110101111001101111101111111011110010111011110010111101110111110110011100100111101110
CHEMBL575538,00111011101001000001110110111101010000001010101101010111010011100011110010100110110001011011010111010010011011000111000101011100001100110100000101101111010111100011010011100011010100111001101111100001100011110011111111111000101111001001111111010110110111010101111100001000101011011010100111011011011110111101011001001101001101011101111011100110010110110011001101111101101111111110111110011111111001110110101111110011110100000000111101110110
CHEMBL72846,00010000100101000101010101110001001110000010000100011101100111110001000000100010101000011110000110000010011010000010100010010000101000000110110100000100010110101101010111100100010100100001010011100000100000000011001001010100101101011000101110000100000101010110011100100000010000011000100111000100001110101001001001001100001100010000111000010101001110001001000100111001101010000110111000011010111001110000111101010100110100010000001011100110
CHEMBL308116,01111111111111111111110111111011111111100101111101011111000111100110011000101011101110011101000111011111111110010110101111000101111111111100101111101111111111110011110111001010111111110101111111110001101101111111111001111100101111101111111111010110010111011101111100111111100111111111100110010011001101111101111101111101001101011111111011110111000110101111001100111100111111011110111010111001111011110110111001111111111100010100010011111110
CHEMBL186830,11111001101111111101110111111001111110100101001111100111011111111010110010110010101011011111100111111110111011010110101111010100111101110111110100001111101111111101011111000111110111110011010111100101100000111011011001011101111111111000111110010010111101110111011110101110000011010110100110110011111111101101011000001111101111111111111010010110011010001111101111111101111011111110111110011111111001110110111111111101111100001100001001101010
CHEMBL1794070,11011001101001010111111111110111010110110101111101001110010111100011111010110000101100010011000111110110011010011010100011001100111010000110110101111100110111110101111111000110110100100111011011110001111000111111101111011100101111011101111110110001010111111111110100101001110100011010100110110011000111011101011001101100101111011111111010000101001100111011000101111101110111111110111011111110111001110010111101011000111100001100011011101110
CHEMBL499027,11111101111111010111010111111101011111110111011101011110011111111111110101101001101010011110100111110110011111011101101101010100011110111111111110101111110111111101011111101111110000010111110111110001101010111111101001011101111111111001101111011111111101011111110101111101110101111010100011010011011110111101111001101101001101111111111011110111001111111101111100111101111111011111011110011010111101110111111111101101100100011000110111100100
CHEMBL1165774,10111110101011111101111101111111111011111110011101101111000111111111011110010001101111111111010111011110010111011110100111111100111110001111111101110111110111111101111111001111111100100101100111110111100011010011001101011101101101001001111100111111111111011111011110101100011111111110101111010011011110111101111101001100101100111111111010010111111110100111101111111101111111111111111111010111111001110010111111100111110100010000011111100110
CHEMBL442566,00111001100011010001110000110011111111100101111001001011110111110011000000110010000010011011010111110010011011011110000011000011011000001100110101001111110110101011011111100011110000110111010101100011101000111111011101100100101101111000101110000110111101011101010100100111110100011100100110010001011110101001011001111110101110011111101010110111011110110101000100111001101111110110011100010010111001110010111111110001101100011100101010110000
CHEMBL225519,11011111111111111111111111111111111110111101111111111111110111110111111110001010111110111111110111111110111111111111100111111110111111110110011111110111110111111101011111011111111101010111111111111011101011101111111111111110101111111011111111111111111111111111111110111101111100111011111111101111111111011001111101111101111111011111111011110111111111111111101111111101111111111010111111011111111111110111111101111101111101001111111110100110
CHEMBL1094277,11111101101111111111111111111101111100100111111110011011111111110111110011110010101010111111100111111010111110010111100011110100111011001100110100001111101111110111111111001111110110110111111111100001111011111111111111111100111111011010111110110111011111110101010100111111111110111101100111100011011110000101111100111100011111011111111011110111011111101111101111111101111111111010111101010110111011110110111111111111111100011101111111100110
CHEMBL1094276,10111101101111011101110111111101111100100111111111011001111111110010110111110010001010111111100110111010111110010110100011110100011011001100111110011111111111110101111111001111110110110111110111100001111011100111111111111100111111011010111110110111011111111101110100111111110111111100100111100011011110000101111101111100001111011111111011110111111111101111101111111101111111101010111101010110111011110110111111111111111000011101111111100110
CHEMBL1643027,11111111111111110101111111111111111111111111111101111111111111111011111110110111101101111111110011111110111101001011101011101111111010100111111101001111111111111111011111111110011111110111111111110011110110111111111111111111101011111111111111011111111111111111101111111111111111011111110111010011111111111101111101111111111101111001111010111111111110101111110101111101111111111111111111111111111011111110111111111111111110011101011111111110
CHEMBL3235464,10111111101011010101111111111111011110111111111111111010111111110111110010100011101111111111010111110011011111011111101011111111111110001111111101101111110111111111011111001011111011110111111111111011101111011110001111010100111111111011101110111110111111111111111110101111111111111111101111111111101111111101111101111101101101101111111110110111111101110111100101111101111011111110111111011110111111110110111101111111111100001101011100111010
CHEMBL52569,11111111111011110111111111111011111111111011111101111111111111111111111111111011101111011111110111111111111111000111100111101111111111111111111111111101111111111111011111110111111101110111111111111011101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111010111111111111101011101111110111101111111111010110111111110101111110110111101111111111111111111011111111111110010111111111111111100011111111101111110
CHEMBL1215741,11011011110011001111110111111001111110111101011001011101110111110011110010100010101101010001100111111110111011011111100111010110111111111111110101111111100111111111111011110111110010110111110111110001110001110111111011011111101111111111101110111111011111111111111101101101110011011110110111000111011110101101011101101101101100110001111010111111011110110101101101111001111111111111111011111010111001110010111111011110111100001000001101111110
CHEMBL1215742,11111011110011011111110110111001111111110111111111011111111011101011110110101011101100110001100111110110111010011111101011100000101111111111111101011101100111111111111111101010111101110111110111100000100001110111101111011111101111101111111110111110001111011111111111011110110111111111111111000111001111101101011001011101101101111011111100110111011110101111100101111101101111111110111011110011111001111110111111011111111100111110001011110110
CHEMBL1215743,10111011110011001111110111110001111111110111111011011101111101110111110010101011101101110001100111110110111010011111100011010100111111111111110101111101100111111111111011100011111000110111110111100001110001110111101011011111111111101111101110111110111101011111111101001100110011111110110110000111101110101101011001011101101100111101111000110111011110101101100101111001111111111110111011111010111001111010111111011010111100101100001101101100
CHEMBL1215744,11111000100011010111110111111001111111111111111101011101011101111111110010101011101101110001110111110110111110011111101111010100111010111111110101111101101111111111111111101011111101110111110111110101100001110111101011011111111111101101101110110010011111111101111111011110110111111111010110100111001110101101011001101101101100111111111000110111011110101111101101111111111111111110111010111011111001111110111111011010111100101001001101110110
CHEMBL1215745,11111010100011011111111111111001111111111111011101011111110111110011110010100010101101111001100110010110111011011111100111010100111111111110110100101111110111110111111111111111111111110111110111100101100010110111111011011110101111111111111110111111011111111111111100111111110111111101111111000111011110101101011101111101101100111011111010110111011111110111101101111101111111111111111011111010111011110110111111011110111100001000001101110110
CHEMBL271164,01111111111111110111111111111011001110100111001111011111011101111011011110110011101001111101110111110110111111010110101010100000011010111110111101011111111111111101001111001001011100110110111111101001111010101110001101111110101101111111111111110111011111011111111100111101111111111110111111110011011111111001111001101100111101101111110010110111011010101111100110111101111110101111111111001110111001110111101101111101111100111110101111101010
