id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3290336,10111011101111000101100110111101011111100011101101011111100111100010001001110001101000011101100111110110001110000011100110110111111101100000110101000111110111111101110111101111110100110101111111100001001000110111011111001100011100000100111110011101011111011111011101111011110010010110100111000011111110111001011101101110101110010111111011011111001110101101011101110000110011011110111000110110100010100110111010111111011100110000001011011110
CHEMBL3605137,01010110101110010101110110100001011011100000101100011111100101100000000000100000000100010100000111111110011010000010100110010100011100110100110100000001100111101100000111000000110100010101010111100001100001111011001111010000111100101000111110101101010111010101110100111110110000011010100010000010001110111001001000101110111110010111111011010100000110100011001101110001111011011110011110010010100000100110101010010110010100010000011001100010
CHEMBL2203775,11010111101111010101100010101101001010100111111101111111011011100011010010100110101110100111101011111000101110001110100010010010001110110111110111011101110011111101111111101011010001100101110101100000100001111110101101010101111111001010111110000111011111011111101100111101110000011110100111000011111100100101111001001100011111011011111011010111110111111011101100110101101111110110111000110110010000100110111110110101111100010110001010000110
CHEMBL3218909,10011011101111010001110110010001011111110011011001000110100111110010000011100110100001101110000111111000001010011111101000000100011010101001100100011111110111101011100110000011010100110011110111100000101001100111111011110101101110101010101110010110000101001011000100101101000011011010000111010001111110101001111001001110101110111001111010011111000111111011001100110101100101101110111010100010010000111110101100010011010000100100011111001100
CHEMBL3218908,10011001101111010101111110110001011011110011111001001110100111100001000011100110101001001110000111111000101010011111001110000100011010101001100110011111110111101011100110100011110100010011110111100000101001010111111111110101111110110010101110010110010111001011101100111001000001011010000111010001111110111101111001001110101111111001111011010111000111111011001100110101110111111110110110110110010000111110101010011001010010100100011011001110
CHEMBL410885,11011110101111111111100011111111011111110011111111110111111111110111101010110110101111011110100111101100101011011010100111111110111010010101111111110101010111111001000111101011111100110111111101111111111101111111111101111111101100111111111110111111011111011011110100111101100010111001110110111001001110101101111001111101111101011011111001010111001111111111110101110101110111111110111011110011010010110011111000111101011100000000111010000100
CHEMBL1957012,00111000101111010111000111111101111110100100011101010101100111100011001100100011101000111110101111011100111010011010100111010100111110101001110100001111001111110101001011110011111100100111010111100000101001111111101111111101101110101111100100001110001111111111111110101111000011011010101110000011001110110101111001011100001111011001011010011111000010101001001101110101110011011110110010111010110010101010101110011010010100000100001001001110
CHEMBL429761,11111001101111010101100111111101111110111101111101111110111011101011110010110010101001111101100111110110001100011110101011111100101010001101111110111110100111111001010111111011110100110001110111100010000001110111111101011000101110101111111111101111010111011111111100110011111100011010011011010011101110001001111001111100001111011101011011011111011011011111001101110000111111001110111011111011010010110100111101011110110000110000001011111110
CHEMBL429760,00111000101111011111100111110001011111110101011101000111011111110111000010110000101100111101010011011110001111010100101001001110111010111110111110001100010111111001011111001010110101111111110101110101101000111111111111111101101101001000100110011110010101011110111101011100010111011010100111000001011100101101111001111100001101011111111010010110011110100011000101110101110011011110110010010010010000100110101110011011110100000000101011001000
CHEMBL163238,11111110001111110101001111111111111011110111111111101110111111011111111011111111111011110111000011110101101111011111101111111111111101111001111111111110111111111101110111111111111101110011110111110111111111111111111101010101111110111111110110101110011111111111111110111011111011111111011111011100101111101100111001101101001101111111111110011110111010101111111101110101110011111111111111101110110010110100111110111111011110000100101111101110
CHEMBL2436226,11111001101110010111100111101101011111110000101001011011101111100011001001110000101110011110110111011110001111001111101100100000011011001110110100011111110111111111011111101010110110110111010101110100100101111111101011011100101110011011110100010110010111011111111100111010010100011000000111000011001010100000111001101100011101101111011010010001001111111001101100110101110001101110010000110010110000100111101000010010010100011000011011000010
CHEMBL2207747,00011011001111010101100111101101111111111111111001011101011111011011100010110110101010110111110011110100011110011010100110110101011110101101110111101110111110111011010100110011010100110101111011100100101100111111111111111101111111111011110110101111001111011111111101111101111010011010100111110111001111111001111001100100011101101100111111011111011110001001001101110101111011111110110110111011110100101100111000011100111100111001011110011010
CHEMBL216524,11011010001011110011100000111111011111001110111101111111110111110000101110111010101010111010000111010100001010011111101111111000101100101100010101100101100111110001111111100011110100110011101101100111100000110111101111111000101110001011101111100111011111110111111100101100111001111111100011100011001010110001011000111111011111011111111011010110011110001101001101111101110011011110011010110010010000100000101110111010010000100000111001000110
CHEMBL2335295,11111001101111011101101111110111111111111111111101010111011111111111101110110011111111111110110011110100101110010010101110101111111101011111110110111111110111111011110110011011110100110110011111001011101011111111111111111111111111001110110111111101011111111011101111011111110111111111101111110111001111111101111101111111111110111101111010010111010000001111111110110101110011111111110010011010011100101001101010110111010000110111011011011100
