id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3261941,00011001100001010101010001100001011110100010001100001110011111110010000000110010101001010111010110010100011110010010101100010001111100001100100100000110000111110001011110100011010000110001010111100001101000000011011001111000100100010011101000010101000101011101111000001000100011000000000010010001000110001100101001101100010100101111111010010111011100110001001100110001111100111110111111000110110000100001101000010000010100000000001000010100
CHEMBL454291,00010010101101000101010100010001011111101100001100101111010111100000001100110010000000011101000111010010000111010000100011000011011000100100100100000111000111110001010111001010110000100001001111100001101000000111101101000000001010101000011110001100011110011011111000011000110110010010000110000000011000101000011001001100000100000111111000010111001110101101001101110001011111010110110110010110110000110000111100000001011100010100001001000110
CHEMBL2424901,01111110101110010101100111111111011111110001111101011110111101110010001010100100111011100101100110111101101111011100100111110010011110011100110111010110100111111111011011100011010100010111010011100001110000110111101101111100101100011001101111000111000110001011101100111100110111011110100111100010001110001001011001011110011101011110111011010111011000001011000100111101110011111110111001111111111010100110111100111110010100000100011010011110
CHEMBL284863,00110011101011010101011101110101011110110111001001111111110011100010100010110110101011111110110110111000001111001100101111010001111110111010111000000110010111110111110111101101110000100111000101000001101011010111111101010110101110111010111110010110011111011011101100101000110110111110000111010011000111101100011001101101001101111011111010010100010110101011100101110001111011111110111110000110010010100110101000111010011100000000101111000000
CHEMBL114987,10111001100111000101100111110101011010111110111101111011000111010011101110110000101000111110001111010010001110011010101010100100111110111100110101110111110111110101011010101110010100110111010111110000100010110111111111111100100100001100110110000001001111011111111100111101110110010010000111110011000110101101111001001101111111011101111110010111001000010011011100110001110011111110110010110010010000100100101110011110011100011000011011110100
CHEMBL2062599,01111110101111101111001011111101111111111111111111111111001011111111111110111011101111111111100111111101101111011110100011101111001111101111111111110111110111111001110011111101110100110111111011111001111111110111111101111100111100111111111111111111101111011111111111111010111111111011110110000011111111011100111101111011011100111111111011001111001010001101101101110001100011101111111110011110110010100011101000111011010000001100111111001100
CHEMBL3086582,11111110101111111111100111111101111110110111111101111011110111110011111100111011111011111111100111110000101111001111101110010110101010011111111111011111101111111011110111101111110111110111111111100100101011111011101101110100111110011011111110101111011111011011111111110001110011011110101111111011001110111101111001001101111111111011111111000111111011111111101101110101111111111110111010111010010110100100111110111111011110001100011111001110
CHEMBL595768,11111011101110111111101111111111111111111111111001011111111111011111110110111110111111111100110011111101101011111111101110110111011101111100110111111111110111111001111111111111111110010110110111011001101011111111111111111111111110111110110111111111001111111010001111111011111011111011101111111111011110001100111101111101111101011111111011001100010000001011011111110111110011101111011111011011010110100100101010111011011000011101111111001110
CHEMBL3086586,11111010101111010111100111111101111110110101111101011011110111110010111100110011111011111111100111110010001111101111101110111110101011111111011111011111100111111011010111111101110101110111111111110100101011111011101101010000111110111011111110101111010111111011001101111001110111011110001111110011111111111101111001111100111111111011111110000111101011011111111100110101111111111110111011111111110110100110111010011111011110001100011111001110
CHEMBL38957,00111111100011010101000011100101011000100011101101011110011111110001101000100011101010011110000111010111001111011110100110000000111111100100110100111111110111110001011011100010110100110111011111100001111001111111001001011001111100000110100100101110010111001111111100101000010110011100100111010011001110011000011001111101001111001101111011010101011110101111001100110111111111011110111110110010010000100110101110110111011100001100001000000110
