id,bqaffp_90_2.0
CHEMBL202664,10011111111011101111111101111101111111100011011101111001111111110011010000110001101101010110010111111110001010001110101011100010111111111110111101111100010111111111010111100011110100110111111111100111101001111111101011011110100101111101111110010111100111011101111101011111110011011010011111000011001111100001011001001110111110111101111010110111011110101111100111111000111111101110111101011010101001110010111101011101111100011100001011100110
CHEMBL370721,00010001101100000101010100111101011010000010000101111001100011100000001000000010100000011100000111010010011010001000100010000001001100001100100100000111000111100101010010100001010000000001000011000100000000001011001001011000100101000000111100001100000101001100001000100000000000010000000111000000001110101001101001100100000000010101111010010111011110000001000100111001111011100110011111011010111001110110101101010001100100010000001001100010
CHEMBL212603,10111111111111111111111111011101111111110011111101111111110111110111001111110010101011111110110101111110110101000101100111111101101110011101110111011101111111111101111111010111110001110111010111111011100111111111111101011101111111101001111110001110011101111111111110111111010111111011101111110011001111111101011100111110011011011111111011100111011111111011001111111101111111111110111110011010111011110010101111111101110100011110111111110110
CHEMBL432718,01111111100011100111111011110111011111110101011101000111111111110111110010110110101111011111100111011010011111001100100011110110011010001101010111000111110111101111110011001110110000110111110111110001110011110111111111110001111101101101111101110110010111011111111011111110100000011010101111110011001110111101111101011110100111111111111011110110011111101101000101111101111101111110111010111010111011010110111101111110111100011100001111101000
CHEMBL1276320,10111101101111000111110110111101101111100111111111110101110101110111010000110000101101111101100011111111011110011011100011110111111010001101110111000111111111110011011110101110110011110011010101110011110001011011111011001001101101011001111111110000000111011111101000111111010001001100100111100000001110101001111101011100010111011011111011110101011110101001001101111101110111101110111010110010111001010110101111010010101100000000001011101010
CHEMBL509757,11011001110011110111110110111101111111101110111111111111111111100011110010110011101110011111010011111010011111010110101111111111111110111110111101111111110111111111011111001111111110110111110111110011101011111111111111110011101101111101111111111110011111111111101101111110011111111111111111010011001111101101111101111111111101011111111010010111011111111111100101111101111111111111111111001110111111111110111101011011111100010001111111111110
CHEMBL1278168,11111011111111100111111011111101011010100111111100101101011101100111011000110100111101011111100110001111011111011110101111111101011110001101111110001111100111111101010111100110110001110111010111110101110001010111111101111001101101010101111110011111010111011111111000111101111001101010100111110011011110111101111100101100010111111011111101010110010110101011000100111001111111111110111011111010111101111110111111111110101100011000100011101100
CHEMBL3261946,01111111101101010111110111110011111110101010011101010111111001110110100011110001101110111110010011110110111110011111101111110110111010101100110111000111101111111111111111011011010110100111011111100001100001011111011101011110100111111000111010011111001111011111001100011110110111011110101111110111001110111101111001101100111111000111110011110111011110101111100101111001111111101110111110010110111001110110101101111110110100110100011111101010
CHEMBL1829657,11111111110011011111111101110111111110111111111111111111110111111111110010101011101111111111100111111110111011000100101111110010111110011111110101111101111111111111111111011010110100111111111111110011101110111111111111011101111111111101101110011110011111011111111100111111111111011111111111110011101111111101011101101111111101011101111110010111111111111111110111111100111111111110111111011011111101110010111101111100110100001100111111111100
CHEMBL302501,11011111111111111111110111101111111011111101111101111111111011110110001110110111101001111111000110111111111110001110101101111100111111111110111111111110100111111101111111101111111110110111010111111001101001101111101111111111101111001110111110100110011111011111111100111110111011111110111111011111011111101101111001011110011101010111111011110111111110001111111101111101111111001110111011111110111011110110101111111010111110010100001111101110
