id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL1254624,01111011101101011111101111110111011110110101111101111111011111110111110110110010111101011110110111111111001011010111101111100101101000001110101111100111101111111011011111000101111100110101101101110111100101110011001011110100101100010111111111000111111111111000111111011011111110111000011111011111011111011100111101101001111111110111111011110101011001111011100101110101110011111111110111011110111110100100111110111111110110011010101011011100
CHEMBL1254625,01111101101111011111101111110001011110110101111101111111010111110011110110110000101101111110000111111111001111010111101111101100101000001110100111100111111111111111010111000101110100111101111101110100101101110011001110111100101100011011111111000111011111011000111101101011110110011110011111011111011110011100111101101001111101111111001011110111011001111001001101110101110011111111110111011110111110100100111110111101111100001010101011001110
CHEMBL1258954,11111111001111011111101011111111111111111111101101111111110111000010100110110111111110111110010011111101001110011110001110110100111111110100101100011111110111111101110111100110110100100111111011100000101100101111101111111001111110111101111110110111100111111001101111110011111110011100100111010011111111111001111001011100010110111111111010011111011001001111101100110001111011111110111111111010110100101111111010010010011100011100001011010100
CHEMBL1258955,11011011001111011111101111111111111010110101001101111101111111110111100110011011101000011110110111110100101011011111100110110001011110001101110110011101010111111011111111001110110000110011111111100010101100110111111111111011111110111011110110101111100111111011111111100011111111011100000011110011011110111101011001001100011110110111111111010111011100101101001101110101110011111110111011111110010000101011111110010100111100001101101101011100
CHEMBL291647,10111011101011111101101111111111111111100111111111111011111111111011011110111010111101111111110111111110101011010101101110101111101100111111011101011111110111111111011111010111110110110101110111110011111111110011111111110101111110111011110111101110011111111011111111111001110111011010010111111111010110101001011101111001011101111111111111010111001111111111111100110101111011111110110111111011010110100101111010111101011000001100001111011110
CHEMBL508657,11111111001111111111101111111011111111100111111111101111111111110111111011111001101110111111110011111100101111011110101101110101111111111110111110111101011111111101101111001111110100110011011111101001101111110111001101111110111100111111110111111111011111011011110101100011111110111011001111010101011111011100011101011000111101011110011010010111011010101011100100110101110011111111110010111011110000100010111110111111110100001101110011010110
CHEMBL511789,11011001001101011111101011111111111111111101111101101111111011101011100010101010101111111100100111110100001011000011101110110101111101101101111110111111010111111101000110011001110110110111111111111111111010110111101101110101101110011011111111001110110111111111111011011111011101111001111111010111101111100000111001101000111100111111111011010001011011000001001100110001110011111110110110011011110010100100111110111111111101101110011101010110
CHEMBL1253764,10011111101111111111101111111111011011110011111101111111111101110011011110110001111101011111110011010100101110010110100010111110011111101101111111011111101111111101110111010111111101110111110111101011101101111110111111110110111100111011110111111111110110111111101110111110011111111110000110110011111111101101111001101011111000010111111000010101101110100011111111110001111111111111111011001110101000100100101010111101110100000100111111101010
CHEMBL1077616,10111001101010110111100111111111111110110001111101111111111111110011110001100010111011111110100111101000100111010011100110001111111101111101100100001111010111111011110111111101011100110111010101110000101011110110111101010101011100011110111011100110011111111011111101111011111111111011001111011111111011001100111001101010110101111110111011010111010001111101110110110101110011101110111011001010110000100111101110111111111100001001111101011110
CHEMBL1253762,10111111101111100111101111111111111111110011111101111111011111110111111110110001101001011111110111010100101110010110100010110111111100101111110111111111100111011101110111000111111111110011110111101011101001111101101111111110111110111011110110110110110110111111111110101110001111111010100110110011111111111001111001101011011010011111111010010111101110100011111110110001111111111111111010001111101000100110101010011101111100000100011011101010
