id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL176044,11111101101111011101101111111001111111110001111101000111010111111111001010111011111111111100110111011001101011101010101110111110101111000101111100110111110111111111011011100101110000110110110111101111100001111111011101010100111100111110110110111110111101110111111110111110111111011010000111010011111111110101111101011100111101111010111111010110001010100011101111110101100001101110110001011110110000100000111110010111011100000000110011000110
CHEMBL248561,01011001101101000111101111111101011010110011101101111111100111110010001010110001101000110100100011110001101010011110100110111010001110111111010111000111100111111101010011100100110101110111111111110011100001111011000101011101101100111011110110100111110111010100111110111000110010111000111111110011001101100001111001100111011101111111111101010111011110101001111101110101111011111110110110011011111010100110111110111000110100011100001010000100
CHEMBL387578,10111011101111110101101111111111111111111111111101011110011111111011000011100111101001110100000111011100101011011110100110111111101110001111111100110111110111111101011111101110010001110010111111101101100011111111000101011101111100111011101110110110011110011101011100111111110011011010010111110011001101100101111101001101101101111011111111010110011110101011111101110101111111001110011110111011110010100110101110011111011100010000011011000000
CHEMBL3677308,00110111100111010101001111110001111011100010111101001111111111110010001100100100111000111111110111010010101111011111101101111101001010111011001101011111000111111101011111101110111001110111111011101101100001110001011001000000101100111100111110101111111111011101011111101011110011011010011111010110111100101100111001011000111100111110111011010111111110101011110100110101110011001111111110111111010000110110101110100011010000000000011011110010
CHEMBL3677309,00111011100111010111000111010101111111100110111101011110110111011011011110100011111000111111110111010110101011010111101111111100111010111111111100011111100111111101111111001110111001100111011111100101100001110011011001001100101110001110111010111111011111011111011101101111110011011011011111010011111100101100111001011001111100111110111110010111111110111011100100110101110011101111111110111111010000110110101010001011110000001000001001000010
CHEMBL403013,10111011101111111111000110111111101011110001111101000111100111110111101000100011101010111111101011011100101111010111101110011110111110111100111111001100100111111011111111010111111100110111010111100000100100101111101101111101111110101010110101111110001111011011101101111001110011011010101111100011011110100101011001111101111111111111111011010110011001001111001101110101111111111111111010111111110010100010111010111101011000010100011111011010
CHEMBL3677307,10111011100111010111001111110101111110110011111101011111111111110111101000110001111001111111100111010011001110011010101101011001101010011111001110011110110111111011011111101011111000110111110111110011101001110001011001000100111110111111101110111110011111111111111101101011111011111010011111010001111110111100111101111100101101011110111011010111001110101011101101110101110011101111111110111111110000110110101110101011010100010000011011000010
CHEMBL3677304,00110101100111010111010111110101111110100010111101001111111111111001001110110000111000110111110111010110101011010011101111010000001010001111011111001111000111110101101111001010111000100011111011101101100011110001011101001110111110111110101110101111011111011111011110101011100011011010101111010111111100101100101001111100101100111111111111010111011110101011100101110001110011101111111010111111110000110110101110101011110000001100011011000010
CHEMBL3677305,00111011100111010101001111110101111110100110111101011111110111011111000110100000111000111111100111010110001011010011101111111110101010001111011100011111100111111101111110101110111001110111111111101101100011110011011000001100111110101110111010101111011111111111111111101101110011010010010111010011111100101100111001111000111100111110111111010111001110111011110101110101110011101111111110111111010000110111101110101011110100000000001011000010
CHEMBL3677302,00011011100111000101000111110101111011100110101101011110111111111010001010110110111000111111100110010110101111011110101111111000101010111101001110011111000111111101111111101110110101110111011111101101100011110101011001001000101110111100101110101111111111011101111111111011000011011000111111010110111100101100011001011001111100110110111111010111111110101011100100110101111011101111111010111101110000110110101110101011010100001100011011001010
CHEMBL3677303,00111011100111010111001111110101111110100010111101011111111111110110011001100001111000111111100111010011001111010011101101111101101010011111011111011111100111111101111111001110111000110111111111100101101011110001011101000110111110111110101110101110011111011111111111101011110011011010001111010011111100111100111001111000111100011110111011010111001110101011100101110101110011101111111110111111110000110110101110101011010100000000001111010010
CHEMBL3677300,00011011100111010101011111110001111110100110111101011111111111011110010111110000111000111111100111010111001111010110101111111010011010001111011110011111100111111101111111001110110000110111111111100101101011110111011101001110111110111110111010101111011111111111111100111101100010010010111111010011111100111100111001111000111100011110111111010111001110101011111101110101110011101111111010111111010000110110101110101011010100000000001011000010
CHEMBL3677301,00111001100111010101001111110101111011100110111101011110110111011011011110100110110000111111110111010110101011011111101111111110101010111110001100011111000111111101011111101110111101110011111111111101100011100011011001101000101110101100111010101111111111011101011111101011010011011010011111010010111100101100111001011001101100111110111111010111111111111011110101110101110011101111111110111111010000110111101110101011010000001000001011000010
