id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL334173,11101011001111110111100111111101011111110101111101111111100111110011011011010001101111111111110011111101101110011111100111011101111011101110111111010111100111111000111111011100111111110111110111100000111010110111111101110101101100101111110110110101011111011100101110111101111011011010001111110001001111111101101101011101001111111111111011000111011000101111111101110101110011111111111010010010010010110100101000011100111101110110111011100110
CHEMBL179726,01111101101110010101100110110101011110010100011001010111010111100010000001110000101000111110110011111000001010011110001101010100011010000100010101001100100111110001001110111001110000110001110101110001001000010011001001010100101110101001100100000010011101111111010101101110111000101000110111110011000110101101011001111101101101110100111010010010011010010111010101110101110011001110011010001010010001100000111001011001110100000000011101001000
CHEMBL593909,10101000101111000111110011010001111111111001111101100111010101110110100000100000111100010110100011010000101011011010000010100000011011001100110101010101101101110011010110001011110100100011010111100000100001010011001001011100111110101010110110111110001111011100101100010100100011011000100111100001000110101001001101101100111110011101111010011110001000111111011101110100100111001110011000101010010100100010101010011010110000100010001001100010
CHEMBL249928,01111001100111010111100101110101001011010001111101000101010111110110110000110001100110011110000111110100101011011010100111001100101010100110111101011111100111110101010110001100010100110011110101110101000010110111101011110100101101001001100110100010011111111100111101010111110001111100110111000011011110101101111101111001001100111111111001010100111110110111010101110101111111011110111000010110010110100101111010010001111100001000110011000100
CHEMBL543661,10111011101111110111100111111011101111100101111101111111111111110110110011110011101111111111110011011100001111010111100011011111101111001110111111001111111111111001111111011101110110110011011111100001101010101111111101111101101100101001010110011110011111111110101111111111111011111010001111110001011110110101111101111000110111011111111011010111001010111111110101110101111011011111111010001010010010100100111010111111111100111110011101001100
CHEMBL48760,01111011101011110101101111111111111111110101101101011111111011110010000110110011101110111110110111111000001111000111100110100111101101111110111101100111011111111111111111111101011111110011111111011000101011010111111111110100111110101111111111001110011111111011111101111011111111011011101111100111111110011100111001100001110101111110111011110011001110011111100101110101110011101110111111011110110010100110101110011011111100011111111111011110
CHEMBL72322,11111011101001111111110111111111111111110101111001111111011111111010111110110011101100010111110011110101001111010011101111010111111000101100011111011111111111111101011111001010111100110111110101110001101010110111111111111000101100101001100111101110110111111110110010111001011111111010100111110011111111101101111111111100001111111111111011010111111110000111101101110100110011111111110010010011100000100010111010011101111101001110101011000110
CHEMBL543669,00111011101111111111101111111111111111110111111101110111111111110111111111111011111111111110000011011100101111110111100110111101111111011100111111111111011111111001111111011101110100110011011101110011101110011111111101111101101100101001110110111111011111111000101111111011111011111010000111110011011110111001111001011101111111111111111011010101100100101111110101110101111011111111111010001010010110111110111010111011110100000000111111000100
CHEMBL64430,01111011001111110110101011111101111111110101111101111111110111110111011101111011101111011110110011010101101111011110101010011101111100101111111111001101100111111000111111111110110001110101100111110111101110011101111101010101101110111010110000101111111111011111110111101011010111011001011111111111001110111100111001011001111101011111111111010101011110100001100101110101110011011110111010111011010010100100111110111011111100011101011111011100
CHEMBL188762,11111001101111011101110111111111111111110101111101111111011111111111111001110101101111110111110111110110001011011111101111011110111010111101111111101101111111111101111111101010111100110111011101110111101010110111101101011100101100101001100110101111111111011110111011111111111111111001010111110011010111111001011101111100111111111110111111010111011101110111111101110101110111111111111110000010110100100010101110011100111100101100111000100110
