id,bqaffp_confidence=90_maxdev=2.0_cutoff=5
CHEMBL3394751,01011000101111000111001100111101011111100000111010011101000111100001010000000010100000111110100111111010010010011100000011010000001110000001000101101111010111110111010111100011110000110000100111100011100001010111111101000100101100001110110110010111111111011111011100101010110010011110100110000011001101101000101001101100011101111011111000110111011110011101000100111001111111101110110000110010110000100010111110011100011100011100011100001100
CHEMBL3394750,01011101101111100111101001111101111110100010101110010101100011110001010000000010100010011110100011111011011011011100001011111000011000000001010101001111110111111101010111100011110000110000000111000000101001010111111001000100111100101110110010010110111111011111011100111000110110011110100110000011011110001100101001100100111101111011101000010111011010001001100100111001111111101110110000110010110000100110111010011100011100011100011100001100
CHEMBL3394753,11011001101111101111111101011101001111010110111011010111011111010111010000100011101000111111100111110000111010011110001001010010001111000101010101111111010110010101011111100011110000110011001111110000100001010111111101011100111100001011111110011100010110011111111100001010110010011110100110000011001111101000111101111101111100011111111010010110110110111001001101111001111111111110110000110011010010100000111010011000011100011100001011001110
CHEMBL3394752,11011100101111100111001101111101111111110110001110010111100111100011011000000010101010111110100011111010011001011100000111111000011000000001011101011111010111111111010011100011110000110000100011110000101001110111101101000100111100111110110110000111111111011111011110111000110010011110100110100011011111101100101001101100011101111011111100011110011010001101100100111001111111101110110000110010110000100110111010011100111100011100011110001100
CHEMBL3394755,01011001101111000111011101011101101111010110101011010111111111011111010000100010101000111111000111110100001010000100001001010110101111000101011101101111011110011101011010100010110000110011001111100000101000010111111101011100101100011011111110001100010111011011111100001010110001011110100110000011001101101000011001111101111100010111111010010110010111111001000101111001111011111100110000110011010010100000111010011001011100010100101011000110
CHEMBL3394754,01110111101111100111110101111101011010011110111111010111110111010111011000100111101000111101100111010100101010010110001001110010011111001101010110011111000110111101111111111010110001110111001111111000101000000111101101011100111100001011111110011100010101011011111100011010010100011110101110000011011110101100011001111101111100011111111010010110010111110001000100111101110011111110110000100010110000100000111010011001011100111100101111001110
CHEMBL1707988,10110011101111000101101010111101011101111101111101101111110101010000001110110110111101101111100111011100100011001000101101111010111010100101110010011111010111111010110011101110111100100111111111100100111001011110101101001000101100011011110101010110000111011101101001101101100011011010110011011010101110101101111001011100010101111001111110011111001111111101010100110101111111111101110011111110110000101110111010111110011100011100000011101110
CHEMBL3394756,01011101101110000101011101110001000011010110101001010111010111010111010000100000101000111111100111010110001010011010001001110010111011100110010100010111001110111101011011100010110011110011001111110110101000010111101101011100101100001010111110000110010101010010110100011000100000010110101110000001011101101000011000111101001100111111111010011100010110001001000100111001110111111110111000100010110000100000101010011000011100011000101011001110
CHEMBL403325,00111111101011110101101011111001111110100111111111111011111111110010110010010001111001110111101111110110011010011110101111111100111110111110101101111111111111111011011111101011110001110111111011111011101101011111111101011010101100001001111110101110111111011111011110100011111011010010110111010010101110101000111101011100101111111111111110011101001110111111100101110001110011111111111010111011110000100100111110011110011100011110101111111000
CHEMBL403324,00111111101011010101100011111011111110101101111011111010111111110110110010010000111001010110100111111110001110011110101111111110111010111110101100111111110111111111100111111011010111110011111011111001101101011111111111011011101110101100111110100110011011011011111100100000101001110010010111010010101111101100111011001110101101011111111110011110001011011111101101110001110011111110111010111011110000100100111100011110011100001010101111011000
CHEMBL387016,01011011101001010101001110100011111101101111111111101111011111001011010010110110101000110110100111110110001101011011101000010111101110100110110111111111010111111001110111010010110110110111111111101011101001100111101101011110101110111101111011101110011111111011111110101001101111110011010111001011001110111000011001001110001100011011111010011111110110000001000101110101111111011110111011110110111010100110111000111011011100000110101111011100
CHEMBL469189,11111011101001000111100111111011011111100111011111100110011111110011011010100010101111100110000011110100001111011011100111110111011010110110111110001111110111111001100110111011110100110111110111100000101001110111101101111100101100101110111110111111011111011010100110111111110111111010011110100001001110111001111001101100101110011111111010011101010010101001100100110001111111011110111010110010110000100110111010010111011100101100111111011010
CHEMBL115709,01111011101101101111001101101111111011111001111101111101111101111111111010111111101111111110000011011100001111011000101111101111101010011110111101101111100111011011011111110011110100010111101111110101101011111111101101000100111110011011110110001111000111011011111100111111101101011010011111001011011111001100111101111101111101011011110110000111011110101111100100110101110011111111110011111010111110100100111000111011011100001100011011111100
CHEMBL258294,00111010101011010101110011101011011010100111111011111011111111111010110010010000111001110110000111111111001010011110101111111110111010111110101101111111111111111101000111111011010101110011100011110000101000011111111101011101101100111100111110101110011101011010101100100000101011110010110111010000100111101000111111001100101111011101111110011110000011011111101101110001111111111110111010111011110000100100111100011011011100111000001111011000
CHEMBL511621,10111011101011010101010011110111011111100011111101111111011111001011010100100110101001110100100111010100001101011111100010011011101110100010111111110110010111111101110111111010110000110001011011101111101001010111101011011111001100011110111111001111011111111011101110111011111011011010111111001010001100111000011101001101101100011111111111011111100010100101001101110101101011111110111001101111110000110110111000111111011100111100101011001010
CHEMBL1257348,11111011101111010101100111111111011011110101111111111111111111010011111111111011001101111111110111110110101110011101001111011101111100111110110101011101110111111101011111001111111100010011110111111011101000111111111101010010101000111110100111101111010111011010001110111001111101011010001111110111001110111100011001011001111101111111011110010111001110111111111100110101100011111110111010111111010000000100101100011011011010111100001011010010
CHEMBL1257347,11111010101111111101100111111011111111110101111111011111111111111011111111111011001101111111110111110100101111011110001111011100011100101110100101011101110111111101111111111111111100110011111111110001111001111111101101010010111100101110100110001111010111011011011110111011111101011011001111110011011111100100011001001001111111111111010110010111011110110111100101110100110010111110111010111111010100101000111100011100010110111100001010010010
CHEMBL459783,01111011100011110111100110110101011011010111111111010111101011111000010011100000101011011111100111111010100010111000001101100100111010111101110101110111110111101001011110000110110001110011010111110000101001011101111101010101101101010001111110110111000111011011111000111100110110011010010111010011001110001100011101001100111101011111111010010101000111011101100101110001101111111110111000110010010100100110111010111101111100001001011101000100
CHEMBL277530,00011011101001010101101000110011011111101111111111110111011111101010000010110110001000110111100111010100001011011010101001010010101110010100100001111111010111110001010111110011110100100001111011100001101001000110101101110100101110111001111111000010011111110111111000101001101110111011110111010011001110111100011001011100001101001011111011110111110100100001000100110101100111011110110010111110110100100010111010110011010100000000001101111110
CHEMBL436752,11011101101011000111101011011101111011110111111101011111011101010011111100110001101011110110100111111100101101011111101111110110001111101010110110101110111111111111111111001010110101010111001111111001101101110111101111011100101100111111111110001111011111111001111100111111111011111110100111001001011101111100111101110111111101111111111011010110011010101011101100110001111011111110111010110111010000100110111010111001011100011110101111011110
CHEMBL575349,00011100000000000001110010110001111100010000011010011001000111100010000000000000000001010001000111000010001000001010100011010100011000000000011100001111000110110000000010000100010000111010011111000000000000001111101110011000101100000001101100001100000101011100111100110000001111000000100111110011000110101000111001011100001011001100111100010110001100101001100100110000100111001110110100100010110000100100101000010000011000010000001001100100
